timestamp,currentmode,newdpressevent,newpressevent,newtempevent_1,newtempevent_2,newtempevent_3,servostatusevent,servoventstatusevent
12:23:41.453596,1,0.95,1.2,5.6,4.4,3.5,0,0
12:23:41.557276,1,0.97,1.26,5.6,4.4,3.5,0,0
12:23:41.661659,1,0.88,1.24,5.6,4.4,3.5,0,0
12:23:41.766627,1,0.98,1.18,5.6,4.4,3.5,0,0
12:23:41.871391,1,0.91,1.14,5.6,4.4,3.5,0,0
12:23:41.976696,1,0.98,1.24,5.6,4.4,3.5,0,0
12:23:42.081725,1,0.95,1.23,5.6,4.4,3.5,0,0
12:23:42.186241,1,0.94,1.21,5.6,4.4,3.5,0,0
12:23:42.292179,1,0.98,1.22,5.6,4.4,3.5,0,0
12:23:42.396965,1,1.04,1.22,5.6,4.4,3.5,0,0
12:23:42.503194,1,1.0,1.22,5.6,4.4,3.5,0,0
12:23:42.607960,1,0.91,1.19,5.6,4.4,3.5,0,0
12:23:42.713442,1,1.0,1.19,5.6,4.4,3.4,0,0
12:23:42.818085,1,0.96,1.18,5.6,4.4,3.4,0,0
12:23:42.922858,1,0.97,1.2,5.6,4.4,3.4,0,0
12:23:43.027825,1,0.94,1.2,5.6,4.4,3.4,0,0
12:23:43.133084,1,0.93,1.28,5.6,4.4,3.4,0,0
12:23:43.238156,1,0.98,1.33,5.6,4.4,3.4,0,0
12:23:43.342370,1,1.01,1.14,5.6,4.4,3.4,0,0
12:23:43.447855,1,0.98,1.21,5.6,4.4,3.4,0,0
12:23:43.552225,1,0.95,1.24,5.6,4.4,3.4,0,0
12:23:43.657524,1,0.98,1.2,5.6,4.4,3.4,0,0
12:23:43.761367,1,1.03,1.24,5.6,4.4,3.4,0,0
12:23:43.865646,1,0.96,1.3,5.6,4.4,3.4,0,0
12:23:43.970908,1,0.99,1.18,5.6,4.4,3.4,0,0
12:23:44.075844,1,0.92,1.22,5.6,4.4,3.4,0,0
12:23:44.180110,1,1.06,1.26,5.6,4.4,3.4,0,0
12:23:44.285341,1,0.88,1.22,5.6,4.4,3.4,0,0
12:23:44.390134,1,0.96,1.24,5.6,4.4,3.4,0,0
12:23:44.495522,1,0.95,1.16,5.6,4.4,3.4,0,0
12:23:44.601181,1,1.0,1.29,5.6,4.4,3.4,0,0
12:23:44.706808,1,0.98,1.25,5.6,4.4,3.4,0,0
12:23:44.815386,1,0.97,1.23,5.6,4.4,3.4,0,0
12:23:44.919570,1,0.94,1.1,5.6,4.4,3.4,0,0
12:23:45.023762,1,0.84,1.26,5.6,4.4,3.4,0,0
12:23:45.128054,1,1.02,1.3,5.6,4.4,3.4,0,0
12:23:45.233662,1,1.0,1.15,5.6,4.4,3.4,0,0
12:23:45.337818,1,0.96,1.2,5.6,4.4,3.4,0,0
12:23:45.442581,1,0.96,1.19,5.6,4.4,3.4,0,0
12:23:45.547273,1,0.94,1.2,5.6,4.4,3.4,0,0
12:23:45.652228,1,0.95,1.1,5.6,4.4,3.4,0,0
12:23:45.756367,1,0.93,1.29,5.6,4.4,3.4,0,0
12:23:45.861506,1,0.88,1.18,5.6,4.4,3.4,0,0
12:23:45.968605,1,0.93,1.24,5.6,4.4,3.4,0,0
12:23:46.073286,1,0.94,1.04,5.6,4.4,3.4,0,0
12:23:46.177468,1,1.02,1.17,5.6,4.4,3.4,0,0
12:23:46.282095,1,1.0,1.21,5.6,4.4,3.4,0,0
12:23:46.387083,1,1.01,1.19,5.6,4.4,3.4,0,0
12:23:46.493031,1,0.95,1.22,5.6,4.4,3.4,0,0
12:23:46.597677,1,0.98,1.12,5.6,4.4,3.4,0,0
12:23:46.702151,1,0.97,1.24,5.6,4.4,3.4,0,0
12:23:46.806016,1,0.99,1.22,5.6,4.4,3.4,0,0
12:23:46.910140,1,0.92,1.24,5.6,4.4,3.4,0,0
12:23:47.014212,1,0.94,1.12,5.6,4.4,3.4,0,0
12:23:47.119090,1,0.93,1.32,5.6,4.4,3.4,0,0
12:23:47.223804,1,0.94,1.19,5.6,4.4,3.4,0,0
12:23:47.328561,1,0.98,1.24,5.6,4.4,3.4,0,0
12:23:47.433597,1,0.96,1.2,5.6,4.4,3.4,0,0
12:23:47.538591,1,0.98,1.27,5.6,4.4,3.4,0,0
12:23:47.643342,1,1.01,1.18,5.6,4.4,3.4,0,0
12:23:47.748904,1,1.12,1.23,5.6,4.4,3.4,0,0
12:23:47.853230,1,0.86,1.26,5.6,4.4,3.4,0,0
12:23:47.958149,1,0.92,1.14,5.6,4.4,3.4,0,0
12:23:48.061948,1,1.0,1.25,5.6,4.4,3.4,0,0
12:23:48.166747,1,1.05,1.29,5.6,4.4,3.4,0,0
12:23:48.271677,1,0.98,1.28,5.6,4.4,3.4,0,0
12:23:48.376223,1,0.98,1.32,5.6,4.4,3.4,0,0
12:23:48.481593,1,1.06,1.22,5.6,4.4,3.4,0,0
12:23:48.586600,1,1.11,1.18,5.6,4.4,3.4,0,0
12:23:48.691879,1,0.91,1.27,5.6,4.4,3.4,0,0
12:23:48.796146,1,0.95,1.32,5.6,4.4,3.4,0,0
12:23:48.899953,1,0.95,1.21,5.6,4.4,3.4,0,0
12:23:49.005653,1,0.96,1.36,5.6,4.4,3.4,0,0
12:23:49.110104,1,0.93,1.2,5.6,4.4,3.4,0,0
12:23:49.215437,1,1.08,1.17,5.6,4.4,3.4,0,0
12:23:49.320541,1,0.94,1.2,5.6,4.5,3.4,0,0
12:23:49.425087,1,0.89,1.21,5.6,4.5,3.4,0,0
12:23:49.528762,1,0.94,1.24,5.6,4.5,3.4,0,0
12:23:49.633410,1,0.96,1.28,5.6,4.5,3.4,0,0
12:23:49.738045,1,0.93,1.26,5.6,4.5,3.4,0,0
12:23:49.843366,1,0.97,1.18,5.6,4.5,3.4,0,0
12:23:49.947564,1,0.98,1.13,5.6,4.5,3.4,0,0
12:23:50.052213,1,0.96,1.16,5.6,4.5,3.4,0,0
