ts,height,velocity,acceleration
-0.75,-0.07057124376296997,-0.14013302326202393,-0.004712052643299103
-0.74,-0.06896223872900009,-0.1369694471359253,0.005000971257686615
-0.73,-0.06920884549617767,-0.13575781881809235,0.005019061267375946
-0.72,-0.07299959659576416,-0.13822510838508606,0.00497986376285553
-0.71,-0.07857054471969604,-0.14250893890857697,0.004912383854389191
-0.7,-0.08406937122344971,-0.1466744989156723,0.004846751689910889
-0.69,-0.08766273409128189,-0.14882634580135345,0.004812486469745636
-0.68,-0.08764252066612244,-0.14721789956092834,0.004836782813072205
-0.67,-0.09300169348716736,-0.15119102597236633,0.00477416068315506
-0.66,-0.09829003363847733,-0.1550503969192505,0.00471331924200058
-0.65,-0.09624075144529343,-0.15127940475940704,0.004771307110786438
-0.64,-0.09236409515142441,-0.14565634727478027,0.004858121275901794
-0.63,-0.08851174265146255,-0.14011575281620026,0.004943639039993286
-0.62,-0.07926178723573685,-0.12904760241508484,0.005115218460559845
-0.61,-0.07551458477973938,-0.12368889898061752,0.01486089825630188
-0.6,-0.07362402975559235,-0.1203056052327156,0.014911264181137085
-0.59,-0.07173952460289001,-0.11705921590328217,0.005296461284160614
-0.58,-0.06986180692911148,-0.11385294049978256,0.005345560610294342
-0.57,-0.07328914850950241,-0.11607147008180618,0.014973215758800507
-0.56,-0.07666850090026855,-0.11831393092870712,0.0052729323506355286
-0.55,-0.08000108599662781,-0.12058130651712418,-0.004426226019859314
-0.54,-0.08328764140605927,-0.12277793884277344,-0.004459738731384277
-0.53,-0.08652841299772263,-0.1249048113822937,-0.00449216365814209
-0.52,-0.08972364664077759,-0.12696290016174316,-0.004523508250713348
-0.51,-0.09287361055612564,-0.12895317375659943,-0.004553794860839844
-0.5,-0.09597808122634888,-0.1307799518108368,0.005081497132778168
-0.49,-0.09371715039014816,-0.1270374208688736,0.005138985812664032
-0.48,-0.09146586060523987,-0.12334299832582474,0.00519571453332901
-0.47,-0.08922448009252548,-0.11969649791717529,0.005251690745353699
-0.46,-0.09781772643327713,-0.12729597091674805,0.005132541060447693
-0.45,-0.09548498690128326,-0.12351468950510025,0.005190625786781311
-0.44,-0.09491962194442749,-0.12169648706912994,-0.004444904625415802
-0.43,-0.09259185940027237,-0.11807354539632797,-0.004387795925140381
-0.42,-0.08299539983272552,-0.10696778446435928,-0.004214182496070862
-0.41,-0.07348667085170746,-0.096065953373909,-0.004043765366077423
-0.4,-0.06406588107347488,-0.08536618202924728,-0.003876522183418274
-0.39,-0.04934598132967949,-0.0692933201789856,-0.003625638782978058
-0.38,-0.04015729948878288,-0.0591064915060997,-0.0034664496779441833
-0.37,-0.031057003885507584,-0.049114905297756195,-0.0033103227615356445
-0.36,-0.02955903485417366,-0.04718618467450142,-0.012944713234901428
-0.35,-0.015410997904837132,-0.03219013288617134,-0.012709185481071472
-0.34,-0.0014057960361242294,-0.017494648694992065,-0.012478373944759369
-0.33,0.012456551194190979,-0.0030966876074671745,-0.012252233922481537
-0.32,0.01351325586438179,-0.0022856402210891247,-0.03156471252441406
-0.31,0.02721811644732952,0.011602177284657955,-0.03134354203939438
-0.3,0.028116509318351746,0.012099754996597767,-0.03133091330528259
-0.29,0.03797717019915581,0.021864108741283417,-0.031173989176750183
-0.28,0.04773533344268799,0.0321921780705452,0.046300701797008514
-0.27,0.05739482864737511,0.0423128567636013,0.046451084315776825
-0.26,0.06695564836263657,0.05222824960947037,0.046598248183727264
-0.25,0.06921818107366562,0.05449216812849045,0.046626247465610504
-0.24,0.07145655155181885,0.0567079521715641,0.04665348678827286
-0.23,0.08087088912725449,0.0664210394024849,0.05646049976348877
-0.22,0.0829879567027092,0.06848575174808502,0.056483857333660126
-0.21,0.0851065069437027,0.07553069293498993,0.5590881109237671
-0.2,0.08727481961250305,0.08745812624692917,1.0520261526107788
