ts,id,T,P
1.185,BARO0,48.63,93514
1.195,BARO0,48.65,93408
1.205,BARO0,48.63,93416
1.215,BARO0,48.64,93444
1.225,BARO0,48.64,93439
1.235,BARO0,48.65,93384
1.245,BARO0,48.62,93469
1.255,BARO0,48.66,93468
1.265,BARO0,48.63,93431
1.275,BARO0,48.63,93405
1.285,BARO0,48.64,93385
1.295,BARO0,48.62,93400
1.305,BARO0,48.64,93380
1.315,BARO0,48.63,93385
1.325,BARO0,48.64,93379
1.335,BARO0,48.63,93338
1.345,BARO0,48.64,93356
1.355,BARO0,48.63,93344
1.365,BARO0,48.63,93316
1.375,BARO0,48.63,93357
1.385,BARO0,48.63,93324
1.395,BARO0,48.63,93316
1.405,BARO0,48.64,93336
1.415,BARO0,48.64,93312
1.425,BARO0,48.62,93306
1.435,BARO0,48.63,93277
1.445,BARO0,48.62,93289
1.455,BARO0,48.62,93277
1.465,BARO0,48.64,93286
1.475,BARO0,48.64,93227
1.485,BARO0,48.64,93222
1.495,BARO0,48.65,93287
1.505,BARO0,48.64,93219
1.515,BARO0,48.63,93168
1.525,BARO0,48.64,93221
1.535,BARO0,48.64,93185
1.545,BARO0,48.63,93213
1.555,BARO0,48.64,93157
1.565,BARO0,48.64,93142
1.575,BARO0,48.63,93175
1.585,BARO0,48.66,93152
1.595,BARO0,48.64,93141
1.605,BARO0,48.64,93119
1.615,BARO0,48.62,93144
1.625,BARO0,48.65,93104
1.635,BARO0,48.65,93103
1.645,BARO0,48.62,93076
1.655,BARO0,48.63,93089
1.665,BARO0,48.63,93086
1.675,BARO0,48.64,93087
1.685,BARO0,48.64,93077
1.695,BARO0,48.64,93059
1.705,BARO0,48.64,93043
1.715,BARO0,48.64,93024
1.725,BARO0,48.61,93040
1.735,BARO0,48.64,93003
1.745,BARO0,48.63,93026
1.755,BARO0,48.64,92993
1.765,BARO0,48.63,92997
1.775,BARO0,48.64,93004
1.785,BARO0,48.64,92936
1.795,BARO0,48.67,92994
1.805,BARO0,48.63,92946
1.815,BARO0,48.63,92952
1.825,BARO0,48.63,92923
1.835,BARO0,48.63,92921
1.845,BARO0,48.63,92934
1.855,BARO0,48.63,92898
1.865,BARO0,48.64,92894
1.875,BARO0,48.62,92891
1.885,BARO0,48.63,92884
1.895,BARO0,48.64,92895
1.905,BARO0,48.66,92869
1.915,BARO0,48.61,92798
1.925,BARO0,48.64,92871
1.935,BARO0,48.61,92808
1.945,BARO0,48.63,92827
1.955,BARO0,48.65,92828
1.965,BARO0,48.63,92798
1.975,BARO0,48.62,92786
1.985,BARO0,48.66,92801
1.995,BARO0,48.65,92793
2.005,BARO0,48.65,92757
2.015,BARO0,48.63,92738
2.025,BARO0,48.62,92741
2.035,BARO0,48.64,92766
2.045,BARO0,48.63,92742
2.055,BARO0,48.64,92730
2.065,BARO0,48.63,92725
2.075,BARO0,48.62,92695
2.085,BARO0,48.66,92707
2.095,BARO0,48.64,92645
2.105,BARO0,48.63,92675
2.115,BARO0,48.63,92680
2.125,BARO0,48.64,92668
2.135,BARO0,48.64,92641
2.145,BARO0,48.64,92658
2.155,BARO0,48.62,92644
2.165,BARO0,48.63,92614
