ts,filteredAltitudeAGL,filteredAcceleration
-0.75,0.07501220703125,0.07732105255126953
-0.74,0.07501220703125,0.08698558807373047
-0.73,-0.0155029296875,0.08698558807373047
-0.72,-0.18939208984375,0.08698558807373047
-0.71,-0.2789306640625,0.08698558807373047
-0.7,-0.2789306640625,0.08698558807373047
-0.69,-0.18939208984375,0.08698558807373047
-0.68,-0.0155029296875,0.08698558807373047
-0.67,-0.2789306640625,0.08698558807373047
-0.66,-0.2789306640625,0.08698558807373047
-0.65,0.075927734375,0.08698558807373047
-0.64,0.1654052734375,0.08698558807373047
-0.63,0.1654052734375,0.08698558807373047
-0.62,0.43017578125,0.08698558807373047
-0.61,0.1654052734375,0.0966501235961914
-0.6,0.075927734375,0.0966501235961914
-0.59,0.075927734375,0.08698558807373047
-0.58,0.075927734375,0.08698558807373047
-0.57,-0.18280029296875,0.0966501235961914
-0.56,-0.18280029296875,0.08698558807373047
-0.55,-0.18280029296875,0.07732105255126953
-0.54,-0.18280029296875,0.07732105255126953
-0.53,-0.18280029296875,0.07732105255126953
-0.52,-0.18280029296875,0.07732105255126953
-0.51,-0.18280029296875,0.07732105255126953
-0.5,-0.18280029296875,0.08698558807373047
-0.49,0.07696533203125,0.08698558807373047
-0.48,0.07696533203125,0.08698558807373047
-0.47,0.07696533203125,0.08698558807373047
-0.46,-0.45159912109375,0.08698558807373047
-0.45,0.07696533203125,0.08698558807373047
-0.44,-0.0087890625,0.07732105255126953
-0.43,0.07696533203125,0.07732105255126953
-0.42,0.4324951171875,0.07732105255126953
-0.41,0.4324951171875,0.07732105255126953
-0.4,0.4324951171875,0.07732105255126953
-0.39,0.695556640625,0.07732105255126953
-0.38,0.4324951171875,0.07732105255126953
-0.37,0.4324951171875,0.07732105255126953
-0.36,0.06561279296875,0.06765460968017578
-0.35,0.68389892578125,0.06765460968017578
-0.34,0.68389892578125,0.06765460968017578
-0.33,0.68389892578125,0.06765460968017578
-0.32,0.06561279296875,0.0483245849609375
-0.31,0.68389892578125,0.0483245849609375
-0.3,0.06561279296875,0.0483245849609375
-0.29,0.50390625,0.0483245849609375
-0.28,0.50390625,0.12564563751220703
-0.27,0.50390625,0.12564563751220703
-0.26,0.50390625,0.12564563751220703
-0.25,0.15234375,0.12564563751220703
-0.24,0.15234375,0.12564563751220703
-0.23,0.50390625,0.13531017303466797
-0.22,0.15234375,0.13531017303466797
-0.21,0.15234375,0.6378917694091797
-0.2,0.15234375,1.130807876586914
-0.19,0.50762939453125,1.3241081237792969
-0.18,0.50762939453125,2.261615753173828
-0.17,0.50762939453125,2.8221874237060547
-0.16,0.50762939453125,3.1024723052978516
-0.15,-0.37646484375,3.3537635803222656
-0.14,-0.37646484375,5.228777885437012
-0.13,0.50762939453125,11.907309532165527
-0.12,1.298095703125,25.525333404541016
-0.11,1.298095703125,25.525333404541016
-0.1,1.298095703125,25.525333404541016
-0.09,1.298095703125,28.985408782958984
-0.08,3.7567138671875,38.69875717163086
-0.07,4.10260009765625,40.43846130371094
