ts,id,Ax,Ay,Az,Gx,Gy,Gz
-0.755,IMU0,0.009580078125,-9.81,-0.18202148437500001,0.1400560224089636,-0.42016806722689076,-1.5406162464985995
-0.745,IMU0,-0.01916015625,-9.819580078125,-0.17244140625,0.1400560224089636,-0.42016806722689076,-1.4705882352941178
-0.735,IMU0,-0.028740234375000003,-9.81,-0.18202148437500001,0.1400560224089636,-0.42016806722689076,-1.5406162464985995
-0.725,IMU0,-0.01916015625,-9.81,-0.19160156250000002,0.1400560224089636,-0.4901960784313726,-1.4705882352941178
-0.715,IMU0,-0.01916015625,-9.800419921875001,-0.21076171875000002,0.1400560224089636,-0.4901960784313726,-1.4705882352941178
-0.705,IMU0,-0.009580078125,-9.81,-0.20118164062500002,0.1400560224089636,-0.4901960784313726,-1.5406162464985995
-0.695,IMU0,-0.047900390625000004,-9.819580078125,-0.20118164062500002,0.21008403361344538,-0.42016806722689076,-1.4705882352941178
-0.685,IMU0,-0.028740234375000003,-9.81,-0.20118164062500002,0.1400560224089636,-0.42016806722689076,-1.4705882352941178
-0.675,IMU0,0,-9.81,-0.19160156250000002,0.21008403361344538,-0.4901960784313726,-1.4705882352941178
-0.665,IMU0,0,-9.819580078125,-0.19160156250000002,0.1400560224089636,-0.4901960784313726,-1.4705882352941178
-0.655,IMU0,0.009580078125,-9.81,-0.19160156250000002,0.21008403361344538,-0.42016806722689076,-1.4705882352941178
-0.645,IMU0,-0.01916015625,-9.819580078125,-0.19160156250000002,0.0700280112044818,-0.4901960784313726,-1.5406162464985995
-0.635,IMU0,0.009580078125,-9.819580078125,-0.20118164062500002,0.21008403361344538,-0.42016806722689076,-1.4705882352941178
-0.625,IMU0,-0.028740234375000003,-9.819580078125,-0.19160156250000002,0.1400560224089636,-0.42016806722689076,-1.5406162464985995
-0.615,IMU0,-0.028740234375000003,-9.800419921875001,-0.17244140625,0.1400560224089636,-0.42016806722689076,-1.4705882352941178
-0.605,IMU0,-0.047900390625000004,-9.781259765625,-0.18202148437500001,0.21008403361344538,-0.42016806722689076,-1.5406162464985995
-0.595,IMU0,-0.01916015625,-9.800419921875001,-0.18202148437500001,0.21008403361344538,-0.42016806722689076,-1.5406162464985995
-0.585,IMU0,0,-9.829160156250001,-0.17244140625,0.21008403361344538,-0.4901960784313726,-1.4705882352941178
-0.575,IMU0,0.009580078125,-9.781259765625,-0.18202148437500001,0.21008403361344538,-0.4901960784313726,-1.4705882352941178
-0.565,IMU0,-0.01916015625,-9.800419921875001,-0.19160156250000002,0.1400560224089636,-0.4901960784313726,-1.5406162464985995
-0.555,IMU0,0.028740234375000003,-9.829160156250001,-0.21076171875000002,0.21008403361344538,-0.5602240896358543,-1.4705882352941178
-0.545,IMU0,-0.009580078125,-9.81,-0.17244140625,0.21008403361344538,-0.5602240896358543,-1.4705882352941178
-0.535,IMU0,-0.009580078125,-9.81,-0.17244140625,0.350140056022409,-0.4901960784313726,-1.4705882352941178
-0.525,IMU0,-0.067060546875,-9.800419921875001,-0.20118164062500002,0.1400560224089636,-0.5602240896358543,-1.4705882352941178
-0.515,IMU0,0,-9.819580078125,-0.19160156250000002,0.1400560224089636,-0.42016806722689076,-1.5406162464985995
-0.505,IMU0,-0.01916015625,-9.838740234375,-0.19160156250000002,0.1400560224089636,-0.42016806722689076,-1.5406162464985995
-0.495,IMU0,-0.028740234375000003,-9.81,-0.17244140625,0.21008403361344538,-0.42016806722689076,-1.5406162464985995
-0.485,IMU0,-0.01916015625,-9.781259765625,-0.21076171875000002,0.1400560224089636,-0.42016806722689076,-1.4705882352941178
-0.475,IMU0,0,-9.800419921875001,-0.19160156250000002,0.1400560224089636,-0.4901960784313726,-1.4705882352941178
-0.465,IMU0,-0.009580078125,-9.800419921875001,-0.20118164062500002,0.1400560224089636,-0.42016806722689076,-1.4705882352941178
-0.455,IMU0,-0.01916015625,-9.790839843750001,-0.21076171875000002,0.21008403361344538,-0.42016806722689076,-1.4705882352941178
-0.445,IMU0,-0.01916015625,-9.800419921875001,-0.19160156250000002,0.1400560224089636,-0.4901960784313726,-1.5406162464985995
-0.435,IMU0,-0.0383203125,-9.81,-0.162861328125,0.21008403361344538,-0.5602240896358543,-1.4705882352941178
-0.425,IMU0,0,-9.790839843750001,-0.19160156250000002,0.1400560224089636,-0.4901960784313726,-1.5406162464985995
-0.415,IMU0,-0.6227050781250001,-11.869716796875,0.39278320312500004,-1.400560224089636,-0.9803921568627452,-1.6106442577030813
-0.405,IMU0,0.20118164062500002,-12.72234375,-0.38320312500000003,0.1400560224089636,-7.142857142857143,-2.170868347338936
-0.395,IMU0,-0.258662109375,-8.9286328125,0.11496093750000001,-1.3305322128851542,-0.350140056022409,-1.5406162464985995
-0.385,IMU0,0.15328125,-7.846083984375,0.258662109375,-0.0700280112044818,-2.030812324929972,-1.400560224089636
-0.375,IMU0,0.22992187500000003,-9.398056640625,-0.5748046875,-0.2801120448179272,-1.4705882352941178,-1.5406162464985995
-0.365,IMU0,-0.852626953125,-9.627978515625001,0.13412109375,0.21008403361344538,0.42016806722689076,-1.4705882352941178
-0.355,IMU0,0.45026367187500005,-9.9249609375,-0.22034179687500002,0.0700280112044818,-0.4901960784313726,-1.4705882352941178
-0.345,IMU0,0.19160156250000002,-10.183623046875,-0.067060546875,0.350140056022409,0,-1.4705882352941178
-0.335,IMU0,-0.3448828125,-9.7716796875,-0.51732421875,0.0700280112044818,0.1400560224089636,-1.3305322128851542
-0.325,IMU0,-0.086220703125,-10.202783203125001,-0.009580078125,0.2801120448179272,0.8403361344537815,-1.5406162464985995
-0.315,IMU0,0.076640625,-9.857900390625,-0.09580078125000001,0,0,-1.5406162464985995
-0.305,IMU0,0.12454101562500001,-9.704619140625,-0.17244140625,0.21008403361344538,-0.4901960784313726,-1.5406162464985995
-0.295,IMU0,-0.258662109375,-9.8483203125,-0.10538085937500001,0.350140056022409,-1.1204481792717087,-1.5406162464985995
-0.285,IMU0,0.23950195312500003,-9.8483203125,-0.009580078125,0,-1.1904761904761905,-1.6106442577030813
-0.275,IMU0,-0.296982421875,-9.790839843750001,0.047900390625000004,0.350140056022409,-0.4901960784313726,-1.5406162464985995
-0.265,IMU0,0.40236328125000004,-10.356064453125,-0.9005273437500001,-0.350140056022409,-0.9803921568627452,-1.5406162464985995
-0.255,IMU0,-0.296982421875,-11.03625,-0.36404296875000003,0.21008403361344538,-0.2801120448179272,-1.4705882352941178
-0.245,IMU0,0.23950195312500003,-10.8446484375,0.22034179687500002,0.4901960784313726,-0.1400560224089636,-1.4705882352941178
-0.235,IMU0,-0.258662109375,-11.965517578125,-0.277822265625,-0.2801120448179272,1.3305322128851542,-1.2605042016806722
-0.225,IMU0,0.0383203125,-12.521162109375,-0.19160156250000002,0.42016806722689076,0.42016806722689076,-1.5406162464985995
-0.215,IMU0,0.17244140625,-12.798984375000002,-0.737666015625,0.2801120448179272,0.2801120448179272,-1.4705882352941178
-0.205,IMU0,-0.28740234375,-13.048066406250001,0.067060546875,0.4901960784313726,1.400560224089636,-1.4705882352941178
-0.195,IMU0,0.48858398437500006,-14.9066015625,-0.22034179687500002,0.6302521008403361,-0.1400560224089636,-1.680672268907563
-0.185,IMU0,0.067060546875,-21.526435546875,-0.3448828125,0.5602240896358543,0.1400560224089636,-1.5406162464985995
-0.175,IMU0,0,-38.454433593750004,1.101708984375,1.050420168067227,-0.21008403361344538,-1.6106442577030813
-0.165,IMU0,-0.28740234375,-49.806826171875,0.21076171875000002,0.9803921568627452,0.9803921568627452,-1.8907563025210086
-0.155,IMU0,1.120869140625,-58.448056640625005,3.3721875000000003,3.641456582633053,-0.700280112044818,-1.4705882352941178
-0.145,IMU0,-1.197509765625,-48.08241210937501,-14.149775390625,-4.271708683473389,-1.6106442577030813,0.9803921568627452
-0.135,IMU0,-0.8622070312500001,-35.024765625,-27.22658203125,-15.056022408963585,-8.123249299719888,-1.050420168067227
-0.125,IMU0,-0.01916015625,-24.419619140625002,2.7303222656250004,-8.96358543417367,-5.042016806722689,-2.5910364145658265
-0.115,IMU0,1.312470703125,-24.113056640625,-5.613925781250001,-14.775910364145659,-1.050420168067227,-1.400560224089636
-0.105,IMU0,0.43110351562500004,-73.757021484375,3.803291015625,-9.453781512605042,-6.022408963585434,-3.2913165266106446
-0.095,IMU0,-0.9388476562500001,-68.947822265625,6.313271484375001,5.9523809523809526,-6.512605042016807,-1.680672268907563
-0.085,IMU0,3.6883300781250004,-68.947822265625,6.313271484375001,5.9523809523809526,-6.512605042016807,-1.680672268907563
-0.075,IMU0,3.6883300781250004,-57.039785156250005,5.000800781250001,12.46498599439776,-10.714285714285715,-3.5714285714285716
-0.065,IMU0,0.833466796875,-37.314404296875004,3.3817675781250003,-6.0924369747899165,-0.7703081232492998,-1.8207282913165266
-0.055,IMU0,2.1459375,-53.217333984375,1.4561718750000001,0.42016806722689076,-6.862745098039216,-3.9215686274509807
-0.045,IMU0,1.312470703125,-74.26476562500001,9.168134765625,-5.322128851540617,13.795518207282914,-3.011204481792717
-0.035,IMU0,3.08478515625,-59.41564453125,-0.43110351562500004,-7.633053221288516,20.65826330532213,-1.1904761904761905
-0.025,IMU0,-2.222578125,-70.18365234375,1.657353515625,-1.1204481792717087,25.560224089635856,-0.6302521008403361
-0.015,IMU0,1.59029296875,-65.93967773437501,6.274951171875,-3.711484593837535,25.210084033613448,-1.3305322128851542
-0.005,IMU0,-0.814306640625,-69.158583984375,12.703183593750001,-3.711484593837535,20.938375350140056,-3.151260504201681
0.005,IMU0,-1.78189453125,-74.85873046875001,-6.658154296875001,-3.361344537815126,14.915966386554622,-0.8403361344537815
0.015,IMU0,-0.8622070312500001,-65.958837890625,3.496728515625,3.711484593837535,-3.5014005602240896,-3.2212885154061626
0.025,IMU0,2.08845703125,-77.08130859375001,10.202783203125001,0.700280112044818,-13.795518207282914,-2.9411764705882355
0.035,IMU0,-1.6094531250000002,-58.361835937500004,-3.8607714843750003,0.42016806722689076,-19.11764705882353,-2.5210084033613445
0.045,IMU0,-0.047900390625000004,-81.651005859375,0.7664062500000001,0,-22.969187675070028,-3.011204481792717
0.055,IMU0,0.296982421875,-62.701611328125004,-0.48858398437500006,3.151260504201681,-21.84873949579832,-3.2913165266106446
0.065,IMU0,1.2549902343750001,-78.604541015625,10.94044921875,1.680672268907563,-14.775910364145659,-2.5210084033613445
0.075,IMU0,3.9374121093750003,-61.25501953125001,0.775986328125,-2.6610644257703084,-6.0924369747899165,-2.5210084033613445
0.085,IMU0,3.899091796875,-58.34267578125,-9.8483203125,-4.761904761904762,1.680672268907563,-2.2408963585434174
0.095,IMU0,0.10538085937500001,-68.315537109375,0.9196875000000001,1.400560224089636,13.935574229691877,-1.8907563025210086
0.105,IMU0,1.39869140625,-60.000029296875006,15.46224609375,6.0924369747899165,14.495798319327731,-3.2212885154061626
0.115,IMU0,-2.6536816406250003,-76.85138671875,8.14306640625,-5.392156862745098,26.610644257703083,0
0.125,IMU0,3.1326855468750003,-62.816572265625005,-11.0745703125,-5.322128851540617,16.666666666666668,-0.8403361344537815
0.135,IMU0,3.5158886718750004,-70.06869140625001,-0.9963281250000001,2.5910364145658265,2.9411764705882355,0.0700280112044818
