ts,latitude,longitude,satellites
17.18,35.344669342041016,-117.81258392333984,5
17.38,35.344703674316406,-117.81255340576172,6
17.58,35.34471893310547,-117.81254577636719,6
17.78,35.3447380065918,-117.81253051757812,5
17.98,35.3447380065918,-117.81253051757812,5
18.28,35.34477615356445,-117.8125,5
18.58,35.344810485839844,-117.8124771118164,6
18.78,35.34482955932617,-117.81246948242188,4
18.98,35.3448486328125,-117.81245422363281,4
19.18,35.3448486328125,-117.81245422363281,6
19.78,35.34490966796875,-117.81243133544922,4
19.98,35.34490966796875,-117.81243133544922,4
20.18,35.344974517822266,-117.81240844726562,4
20.58,35.34501647949219,-117.8124008178711,5
20.78,35.345008850097656,-117.81243133544922,4
20.98,35.345008850097656,-117.81243133544922,4
21.38,35.34505844116211,-117.81242370605469,6
21.58,35.3450927734375,-117.81238555908203,6
22.18,35.3450927734375,-117.81238555908203,7
22.38,35.3450927734375,-117.81238555908203,7
22.78,35.34518051147461,-117.81238555908203,0
23.18,35.34522247314453,-117.81234741210938,0
23.38,35.34522247314453,-117.81234741210938,10
23.58,35.34528732299805,-117.81229400634766,10
23.78,35.34529495239258,-117.81228637695312,6
23.98,35.34529495239258,-117.81228637695312,6
24.18,35.34530258178711,-117.81227111816406,6
24.78,35.34530258178711,-117.812255859375,4
24.98,35.34530258178711,-117.812255859375,4
25.18,35.345306396484375,-117.81221008300781,5
25.38,35.345298767089844,-117.81220245361328,5
25.58,35.34530258178711,-117.81217956542969,4
25.78,35.34529495239258,-117.8121566772461,6
25.98,35.34529495239258,-117.8121566772461,6
26.18,35.34529495239258,-117.8121566772461,8
26.58,35.345252990722656,-117.81204986572266,9
26.78,35.345237731933594,-117.81204223632812,7
26.98,35.345237731933594,-117.81204223632812,7
27.58,35.3452033996582,-117.81198120117188,7
27.78,35.345191955566406,-117.81196594238281,5
27.98,35.34515380859375,-117.81201171875,5
28.18,35.345149993896484,-117.81200408935547,5
28.38,35.345149993896484,-117.81200408935547,5
29.18,35.34514236450195,-117.81196594238281,9
29.38,35.34514236450195,-117.81196594238281,9
29.78,35.34513854980469,-117.81196594238281,6
29.98,35.34513854980469,-117.81196594238281,6
30.18,35.34513854980469,-117.81196594238281,7
30.38,35.34513854980469,-117.81196594238281,7
30.78,35.34518051147461,-117.8119888305664,7
30.98,35.3452033996582,-117.81200408935547,7
31.18,35.3452033996582,-117.81200408935547,6
31.58,35.345252990722656,-117.81202697753906,6
31.98,35.34529113769531,-117.81204223632812,8
32.18,35.345314025878906,-117.81204223632812,8
32.38,35.345333099365234,-117.81204986572266,7
32.78,37.25,-117.81205749511719,5
32.98,35.34539794921875,-117.81207275390625,5
33.18,35.34541702270508,-117.81207275390625,7
33.38,35.345436096191406,-117.81208038330078,8
33.78,35.345455169677734,-117.81208801269531,6
33.98,35.345455169677734,-117.81208801269531,6
