ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated
-0.75,8.583,1.827,1,4.689
-0.74,8.583,1.827,1,4.689
-0.73,8.583,1.827,1.001,4.689
-0.72,8.583,1.827,1.001,4.688
-0.71,8.583,1.827,1.001,4.688
-0.7,8.583,1.827,1.001,4.688
-0.69,8.583,1.827,1.001,4.688
-0.68,8.583,1.827,1.001,4.688
-0.67,8.583,1.827,1.001,4.688
-0.66,8.583,1.827,1.001,4.688
-0.65,8.583,1.827,1.001,4.688
-0.64,8.583,1.827,1.001,4.688
-0.63,8.583,1.827,1.001,4.687
-0.62,8.583,1.827,1.001,4.687
-0.61,8.583,1.827,1.001,4.687
-0.6,8.583,1.827,1.001,4.687
-0.59,8.583,1.827,1.001,4.687
-0.58,8.584,1.827,1.001,4.687
-0.57,8.584,1.827,1.001,4.687
-0.56,8.584,1.827,1.001,4.687
-0.55,8.584,1.827,1.001,4.686
-0.54,8.584,1.827,1.001,4.686
-0.53,8.584,1.828,1.001,4.686
-0.52,8.584,1.828,1.001,4.686
-0.51,8.584,1.828,1.001,4.686
-0.5,8.584,1.828,1.001,4.686
-0.49,8.584,1.828,1.001,4.686
-0.48,8.584,1.828,1.001,4.686
-0.47,8.584,1.828,1.001,4.685
-0.46,8.584,1.828,1.001,4.685
-0.45,8.584,1.828,1.001,4.685
-0.44,8.584,1.828,1.002,4.685
-0.43,8.584,1.828,1.002,4.685
-0.42,8.584,1.828,1.001,4.685
-0.41,8.584,1.828,1.001,4.685
-0.4,8.585,1.827,1.001,4.685
-0.39,8.586,1.83,0.996,4.683
-0.38,8.586,1.828,0.995,4.683
-0.37,8.586,1.829,0.994,4.683
-0.36,8.587,1.829,0.993,4.682
-0.35,8.587,1.829,0.994,4.682
-0.34,8.587,1.829,0.994,4.682
-0.33,8.587,1.829,0.994,4.682
-0.32,8.587,1.828,0.995,4.682
-0.31,8.586,1.828,0.996,4.682
-0.3,8.587,1.828,0.996,4.682
-0.29,8.587,1.828,0.996,4.682
-0.28,8.587,1.828,0.996,4.682
-0.27,8.587,1.828,0.995,4.682
-0.26,8.587,1.828,0.995,4.681
-0.25,8.587,1.828,0.995,4.681
-0.24,8.587,1.828,0.995,4.681
-0.23,8.587,1.828,0.995,4.681
-0.22,8.587,1.827,0.996,4.681
-0.21,8.587,1.827,0.997,4.681
-0.2,8.587,1.827,0.998,4.681
-0.19,8.587,1.826,0.999,4.682
-0.18,8.587,1.827,1,4.681
-0.17,8.587,1.827,1,4.681
-0.16,8.587,1.827,1.001,4.681
-0.15,8.587,1.827,1.002,4.681
-0.14,8.586,1.83,1.004,4.68
-0.13,8.586,1.827,1.001,4.682
-0.12,8.589,1.819,0.989,4.683
-0.11,8.591,1.814,0.982,4.682
-0.1,8.594,1.803,0.975,4.683
-0.09,8.597,1.798,0.967,4.681
-0.08,8.596,1.805,0.965,4.68
-0.07,8.596,1.812,0.963,4.678
-0.06,8.596,1.825,0.961,4.674
-0.05,8.597,1.82,0.958,4.674
-0.04,8.599,1.823,0.954,4.671
-0.03,8.599,1.813,0.963,4.672
-0.02,8.598,1.799,0.975,4.676
-0.01,8.596,1.787,0.994,4.681
0,8.594,1.774,1.012,4.685
0.01,9.999,-0.003,0.018,-0.001
0.02,9.999,-0.006,0.032,-0.001
0.03,9.999,-0.003,0.029,-0.002
0.04,9.999,-0.002,0.017,-0.004
0.05,9.999,-0.002,0.001,-0.005
0.06,9.999,-0.002,-0.018,-0.006
0.07,9.999,0,-0.036,-0.008
0.08,9.999,0.001,-0.049,-0.009
0.09,9.999,-0.001,-0.054,-0.01
0.1,9.999,-0.005,-0.052,-0.011
0.11,9.999,-0.004,-0.039,-0.011
0.12,9.999,0,-0.026,-0.013
0.13,9.999,-0.003,-0.003,-0.012
0.14,9.999,-0.008,0.011,-0.011
0.15,9.999,-0.006,0.014,-0.01
0.16,9.999,-0.008,0.023,-0.009
0.17,9.999,-0.01,0.04,-0.009
0.18,9.999,-0.01,0.053,-0.007
0.19,9.999,-0.006,0.048,-0.005
0.2,9.999,-0.003,0.037,-0.006
0.21,9.999,-0.002,0.023,-0.005
0.22,9.999,0,0.004,-0.005
0.23,9.999,-0.002,-0.001,-0.005
0.24,9.999,-0.011,0.005,-0.007
0.25,9.999,-0.012,0.014,-0.007
0.26,9.999,-0.013,0.022,-0.007
0.27,9.999,-0.013,0.033,-0.01
0.28,9.999,-0.013,0.039,-0.011
0.29,9.999,-0.014,0.051,-0.012
0.3,9.999,-0.013,0.055,-0.014
0.31,9.999,-0.016,0.061,-0.013
0.32,9.999,-0.018,0.049,-0.014
0.33,9.999,-0.019,0.027,-0.015
0.34,9.999,-0.024,0.005,-0.016
0.35,9.999,-0.031,-0.015,-0.014
0.36,9.999,-0.036,-0.062,-0.015
0.37,9.999,-0.038,-0.089,-0.017
0.38,9.999,-0.036,-0.101,-0.018
0.39,9.999,-0.034,-0.114,-0.019
0.4,9.999,-0.026,-0.121,-0.023
0.41,9.999,-0.027,-0.122,-0.024
0.42,9.999,-0.02,-0.116,-0.026
0.43,9.999,-0.012,-0.103,-0.028
0.44,9.999,-0.012,-0.076,-0.027
0.45,9.999,-0.011,-0.056,-0.025
0.46,9.999,-0.011,-0.036,-0.025
0.47,9.999,-0.021,0.006,-0.022
0.48,9.999,-0.033,0.046,-0.019
0.49,9.999,-0.033,0.06,-0.017
0.5,9.999,-0.035,0.089,-0.017
0.51,9.999,-0.04,0.114,-0.014
0.52,9.999,-0.042,0.125,-0.012
0.53,9.999,-0.036,0.09,-0.013
0.54,9.999,-0.027,0.102,-0.014
0.55,9.999,-0.033,0.123,-0.017
0.56,9.999,-0.027,0.12,-0.02
0.57,9.999,-0.023,0.12,-0.024
0.58,9.999,-0.023,0.123,-0.027
0.59,9.999,-0.026,0.129,-0.027
0.6,9.999,-0.024,0.118,-0.031
0.61,9.999,-0.023,0.111,-0.031
0.62,9.999,-0.028,0.108,-0.032
0.63,9.999,-0.027,0.105,-0.034
0.64,9.999,-0.028,0.102,-0.037
0.65,9.999,-0.029,0.098,-0.04
0.66,9.999,-0.031,0.095,-0.042
0.67,9.999,-0.034,0.09,-0.044
0.68,9.999,-0.036,0.085,-0.047
0.69,9.999,-0.035,0.081,-0.049
0.7,9.999,-0.035,0.079,-0.051
0.71,9.999,-0.034,0.076,-0.054
0.72,9.999,-0.027,0.072,-0.057
0.73,9.999,-0.027,0.069,-0.06
0.74,9.999,-0.027,0.063,-0.063
0.75,9.999,-0.028,0.061,-0.065
0.76,9.999,-0.027,0.059,-0.068
0.77,9.999,-0.029,0.057,-0.07
0.78,9.999,-0.028,0.054,-0.073
0.79,9.999,-0.022,0.05,-0.077
0.8,9.999,-0.022,0.045,-0.081
0.81,9.999,-0.022,0.043,-0.084
0.82,9.999,-0.021,0.038,-0.087
0.83,9.999,-0.02,0.034,-0.091
0.84,9.999,-0.021,0.032,-0.093
0.85,9.999,-0.022,0.03,-0.096
0.86,9.999,-0.024,0.026,-0.1
0.87,9.999,-0.025,0.022,-0.104
0.88,9.999,-0.024,0.019,-0.107
0.89,9.999,-0.024,0.018,-0.111
0.9,9.999,-0.022,0.012,-0.115
0.91,9.999,-0.019,0.009,-0.118
0.92,9.999,-0.018,0.006,-0.121
0.93,9.999,-0.015,0.001,-0.125
0.94,9.999,-0.01,-0.004,-0.129
0.95,9.999,-0.011,-0.009,-0.133
0.96,9.999,-0.008,-0.011,-0.137
0.97,9.998,-0.002,-0.018,-0.141
0.98,9.998,-0.001,-0.02,-0.145
0.99,9.998,0,-0.024,-0.149
1,9.998,0,-0.027,-0.153
1.01,9.998,0.001,-0.03,-0.157
1.02,9.998,0.001,-0.028,-0.161
1.03,9.998,0.002,-0.032,-0.165
1.04,9.998,0,-0.032,-0.168
1.05,9.998,0,-0.034,-0.172
1.06,9.998,0,-0.038,-0.176
1.07,9.998,0,-0.042,-0.18
1.08,9.998,0.002,-0.043,-0.183
1.09,9.998,0.005,-0.045,-0.187
1.1,9.998,0.01,-0.049,-0.192
1.11,9.997,0.012,-0.05,-0.196
1.12,9.997,0.014,-0.053,-0.2
1.13,9.997,0.015,-0.052,-0.203
1.14,9.997,0.017,-0.052,-0.207
1.15,9.997,0.016,-0.052,-0.211
1.16,9.997,0.015,-0.055,-0.215
1.17,9.997,0.016,-0.054,-0.219
1.18,9.997,0.018,-0.054,-0.222
1.19,9.997,0.019,-0.055,-0.227
1.2,9.997,0.018,-0.056,-0.231
1.21,9.997,0.017,-0.059,-0.235
1.22,9.996,0.017,-0.058,-0.239
1.23,9.996,0.019,-0.057,-0.242
1.24,9.996,0.019,-0.055,-0.246
1.25,9.996,0.022,-0.057,-0.25
1.26,9.996,0.024,-0.061,-0.254
1.27,9.996,0.026,-0.06,-0.258
1.28,9.996,0.026,-0.06,-0.262
1.29,9.996,0.026,-0.06,-0.266
1.3,9.996,0.026,-0.06,-0.269
1.31,9.996,0.027,-0.061,-0.273
1.32,9.995,0.028,-0.062,-0.277
1.33,9.995,0.029,-0.063,-0.28
1.34,9.995,0.03,-0.063,-0.284
1.35,9.995,0.031,-0.063,-0.287
1.36,9.995,0.031,-0.063,-0.291
1.37,9.995,0.032,-0.063,-0.294
1.38,9.995,0.032,-0.063,-0.297
1.39,9.995,0.032,-0.063,-0.3
1.4,9.995,0.032,-0.062,-0.304
1.41,9.995,0.033,-0.062,-0.307
1.42,9.994,0.033,-0.062,-0.31
1.43,9.994,0.032,-0.061,-0.312
1.44,9.994,0.033,-0.06,-0.315
1.45,9.994,0.033,-0.059,-0.318
1.46,9.994,0.033,-0.059,-0.321
1.47,9.994,0.032,-0.058,-0.324
1.48,9.994,0.031,-0.057,-0.326
1.49,9.994,0.031,-0.056,-0.329
1.5,9.994,0.031,-0.055,-0.331
1.51,9.994,0.031,-0.055,-0.334
1.52,9.994,0.03,-0.054,-0.336
1.53,9.994,0.029,-0.053,-0.338
1.54,9.994,0.029,-0.053,-0.34
1.55,9.993,0.028,-0.052,-0.342
1.56,9.993,0.027,-0.052,-0.344
1.57,9.993,0.027,-0.051,-0.345
1.58,9.993,0.026,-0.05,-0.347
1.59,9.993,0.025,-0.05,-0.349
1.6,9.993,0.023,-0.049,-0.35
1.61,9.993,0.022,-0.049,-0.351
1.62,9.993,0.022,-0.049,-0.352
1.63,9.993,0.021,-0.049,-0.353
1.64,9.993,0.021,-0.049,-0.354
1.65,9.993,0.02,-0.049,-0.355
1.66,9.993,0.019,-0.049,-0.356
1.67,9.993,0.018,-0.05,-0.356
1.68,9.993,0.016,-0.051,-0.357
1.69,9.993,0.014,-0.05,-0.357
1.7,9.993,0.012,-0.05,-0.357
1.71,9.993,0.011,-0.05,-0.357
1.72,9.993,0.01,-0.05,-0.357
1.73,9.993,0.009,-0.051,-0.357
1.74,9.993,0.007,-0.051,-0.356
1.75,9.993,0.005,-0.051,-0.356
1.76,9.993,0.004,-0.05,-0.355
1.77,9.993,0.001,-0.05,-0.354
1.78,9.993,-0.001,-0.049,-0.354
1.79,9.993,-0.003,-0.049,-0.353
1.8,9.993,-0.006,-0.048,-0.352
1.81,9.993,-0.008,-0.047,-0.35
1.82,9.993,-0.011,-0.047,-0.349
1.83,9.993,-0.014,-0.046,-0.348
1.84,9.993,-0.017,-0.044,-0.346
1.85,9.993,-0.02,-0.044,-0.344
1.86,9.993,-0.023,-0.043,-0.343
1.87,9.994,-0.026,-0.044,-0.341
1.88,9.994,-0.03,-0.043,-0.339
1.89,9.994,-0.033,-0.042,-0.337
1.9,9.994,-0.036,-0.042,-0.335
1.91,9.994,-0.039,-0.041,-0.333
1.92,9.994,-0.042,-0.039,-0.33
1.93,9.994,-0.046,-0.038,-0.328
1.94,9.994,-0.048,-0.037,-0.325
1.95,9.994,-0.052,-0.036,-0.323
1.96,9.994,-0.054,-0.035,-0.32
1.97,9.994,-0.058,-0.033,-0.317
1.98,9.994,-0.061,-0.031,-0.314
1.99,9.994,-0.064,-0.028,-0.311
2,9.994,-0.068,-0.026,-0.308
2.01,9.995,-0.071,-0.024,-0.304
2.02,9.995,-0.073,-0.022,-0.301
2.03,9.995,-0.077,-0.019,-0.298
2.04,9.995,-0.08,-0.017,-0.294
2.05,9.995,-0.083,-0.014,-0.291
2.06,9.995,-0.086,-0.012,-0.287
2.07,9.995,-0.089,-0.009,-0.283
2.08,9.995,-0.093,-0.006,-0.279
2.09,9.995,-0.096,-0.003,-0.275
2.1,9.995,-0.1,0,-0.271
2.11,9.995,-0.103,0.003,-0.267
2.12,9.995,-0.106,0.006,-0.262
2.13,9.996,-0.11,0.009,-0.258
2.14,9.996,-0.113,0.013,-0.254
2.15,9.996,-0.117,0.016,-0.249
2.16,9.996,-0.12,0.02,-0.245
2.17,9.996,-0.122,0.023,-0.24
2.18,9.996,-0.125,0.027,-0.236
2.19,9.996,-0.128,0.031,-0.231
2.2,9.996,-0.131,0.035,-0.226
2.21,9.996,-0.134,0.04,-0.222
2.22,9.996,-0.138,0.044,-0.217
2.23,9.996,-0.141,0.049,-0.212
2.24,9.996,-0.144,0.054,-0.207
2.25,9.996,-0.146,0.059,-0.202
2.26,9.996,-0.149,0.063,-0.197
2.27,9.996,-0.152,0.068,-0.192
2.28,9.996,-0.154,0.073,-0.187
2.29,9.996,-0.157,0.078,-0.182
2.3,9.996,-0.159,0.083,-0.177
2.31,9.996,-0.162,0.088,-0.171
2.32,9.996,-0.165,0.093,-0.166
2.33,9.996,-0.167,0.099,-0.161
2.34,9.996,-0.17,0.104,-0.155
2.35,9.996,-0.172,0.11,-0.15
2.36,9.996,-0.174,0.116,-0.145
2.37,9.996,-0.176,0.122,-0.139
2.38,9.996,-0.179,0.128,-0.134
2.39,9.996,-0.181,0.134,-0.128
2.4,9.996,-0.183,0.14,-0.123
2.41,9.996,-0.185,0.146,-0.118
2.42,9.996,-0.188,0.152,-0.112
2.43,9.996,-0.19,0.159,-0.107
2.44,9.996,-0.192,0.165,-0.101
2.45,9.996,-0.193,0.171,-0.096
2.46,9.996,-0.195,0.177,-0.091
2.47,9.995,-0.197,0.183,-0.086
2.48,9.995,-0.2,0.189,-0.08
2.49,9.995,-0.202,0.195,-0.075
2.5,9.995,-0.205,0.201,-0.07
2.51,9.995,-0.206,0.206,-0.064
2.52,9.995,-0.209,0.212,-0.059
2.53,9.995,-0.211,0.218,-0.054
2.54,9.995,-0.212,0.224,-0.049
2.55,9.994,-0.214,0.23,-0.043
2.56,9.994,-0.216,0.236,-0.038
2.57,9.994,-0.218,0.241,-0.033
2.58,9.994,-0.22,0.247,-0.028
2.59,9.994,-0.221,0.253,-0.023
2.6,9.994,-0.223,0.258,-0.018
2.61,9.993,-0.225,0.264,-0.013
2.62,9.993,-0.226,0.269,-0.008
2.63,9.993,-0.228,0.275,-0.003
2.64,9.993,-0.229,0.28,0.001
2.65,9.993,-0.23,0.285,0.006
2.66,9.993,-0.232,0.29,0.011
2.67,9.992,-0.233,0.295,0.015
2.68,9.992,-0.235,0.3,0.02
2.69,9.992,-0.236,0.305,0.025
2.7,9.992,-0.238,0.31,0.029
2.71,9.992,-0.239,0.314,0.034
2.72,9.991,-0.24,0.319,0.039
2.73,9.991,-0.241,0.324,0.043
2.74,9.991,-0.242,0.328,0.048
2.75,9.991,-0.243,0.333,0.052
2.76,9.991,-0.243,0.338,0.056
2.77,9.99,-0.244,0.343,0.06
2.78,9.99,-0.245,0.347,0.064
2.79,9.99,-0.245,0.351,0.068
2.8,9.99,-0.246,0.355,0.072
2.81,9.99,-0.247,0.359,0.075
2.82,9.989,-0.248,0.363,0.079
2.83,9.989,-0.248,0.367,0.082
2.84,9.989,-0.248,0.37,0.085
2.85,9.989,-0.248,0.373,0.088
2.86,9.989,-0.249,0.377,0.091
2.87,9.989,-0.248,0.38,0.094
2.88,9.989,-0.248,0.383,0.097
2.89,9.988,-0.249,0.386,0.1
2.9,9.988,-0.249,0.39,0.102
2.91,9.988,-0.249,0.393,0.105
2.92,9.988,-0.248,0.396,0.107
2.93,9.988,-0.248,0.398,0.109
2.94,9.988,-0.248,0.401,0.111
2.95,9.988,-0.247,0.403,0.113
2.96,9.988,-0.247,0.406,0.115
2.97,9.987,-0.246,0.408,0.116
2.98,9.987,-0.246,0.41,0.118
2.99,9.987,-0.245,0.412,0.119
3,9.987,-0.244,0.413,0.12
3.01,9.987,-0.243,0.415,0.121
3.02,9.987,-0.242,0.417,0.122
3.03,9.987,-0.24,0.418,0.123
3.04,9.987,-0.239,0.42,0.123
3.05,9.987,-0.238,0.422,0.124
3.06,9.987,-0.237,0.423,0.124
3.07,9.987,-0.235,0.424,0.124
3.08,9.987,-0.234,0.424,0.124
3.09,9.987,-0.231,0.425,0.124
3.1,9.987,-0.229,0.425,0.124
3.11,9.987,-0.228,0.426,0.124
3.12,9.987,-0.226,0.426,0.123
3.13,9.987,-0.223,0.426,0.123
3.14,9.987,-0.222,0.425,0.122
3.15,9.987,-0.22,0.425,0.121
3.16,9.987,-0.217,0.425,0.121
3.17,9.987,-0.215,0.424,0.12
3.18,9.988,-0.213,0.424,0.119
3.19,9.988,-0.21,0.423,0.118
3.2,9.988,-0.208,0.422,0.117
3.21,9.988,-0.206,0.42,0.115
3.22,9.988,-0.204,0.419,0.114
3.23,9.988,-0.201,0.417,0.112
3.24,9.988,-0.199,0.415,0.111
3.25,9.988,-0.196,0.412,0.109
3.26,9.989,-0.194,0.41,0.107
3.27,9.989,-0.191,0.406,0.105
3.28,9.989,-0.189,0.403,0.103
3.29,9.989,-0.186,0.4,0.101
3.3,9.989,-0.183,0.396,0.099
3.31,9.99,-0.18,0.392,0.096
3.32,9.99,-0.177,0.388,0.094
3.33,9.99,-0.175,0.383,0.091
3.34,9.99,-0.172,0.379,0.089
3.35,9.991,-0.169,0.374,0.086
3.36,9.991,-0.166,0.369,0.083
3.37,9.991,-0.164,0.363,0.08
3.38,9.991,-0.161,0.357,0.077
3.39,9.992,-0.158,0.352,0.074
3.4,9.992,-0.156,0.345,0.071
3.41,9.992,-0.153,0.339,0.068
3.42,9.993,-0.151,0.333,0.064
3.43,9.993,-0.148,0.326,0.06
3.44,9.993,-0.145,0.319,0.057
3.45,9.993,-0.142,0.312,0.053
3.46,9.994,-0.14,0.304,0.049
3.47,9.994,-0.138,0.297,0.045
3.48,9.994,-0.135,0.29,0.041
3.49,9.995,-0.133,0.282,0.037
3.5,9.995,-0.13,0.274,0.032
3.51,9.995,-0.128,0.267,0.028
3.52,9.995,-0.126,0.259,0.024
3.53,9.996,-0.124,0.251,0.02
3.54,9.996,-0.122,0.243,0.016
3.55,9.996,-0.121,0.235,0.011
3.56,9.996,-0.119,0.227,0.007
3.57,9.996,-0.117,0.219,0.002
3.58,9.997,-0.115,0.21,-0.001
3.59,9.997,-0.114,0.202,-0.006
3.6,9.997,-0.112,0.193,-0.01
3.61,9.997,-0.111,0.184,-0.015
3.62,9.997,-0.11,0.175,-0.019
3.63,9.997,-0.108,0.166,-0.024
3.64,9.998,-0.107,0.157,-0.028
3.65,9.998,-0.106,0.148,-0.033
3.66,9.998,-0.106,0.139,-0.038
3.67,9.998,-0.105,0.13,-0.043
3.68,9.998,-0.104,0.121,-0.047
3.69,9.998,-0.103,0.111,-0.052
3.7,9.998,-0.103,0.102,-0.057
3.71,9.998,-0.102,0.092,-0.062
3.72,9.998,-0.102,0.082,-0.067
3.73,9.998,-0.102,0.073,-0.072
3.74,9.998,-0.102,0.063,-0.076
3.75,9.998,-0.102,0.053,-0.081
3.76,9.999,-0.102,0.043,-0.086
3.77,9.998,-0.102,0.033,-0.091
3.78,9.998,-0.103,0.023,-0.096
3.79,9.998,-0.103,0.014,-0.101
3.8,9.998,-0.103,0.004,-0.105
3.81,9.998,-0.103,-0.005,-0.11
3.82,9.998,-0.104,-0.015,-0.115
3.83,9.998,-0.105,-0.025,-0.12
3.84,9.998,-0.106,-0.035,-0.125
3.85,9.998,-0.107,-0.045,-0.129
3.86,9.998,-0.108,-0.055,-0.134
3.87,9.998,-0.109,-0.066,-0.139
3.88,9.998,-0.11,-0.076,-0.144
3.89,9.997,-0.11,-0.086,-0.148
3.9,9.997,-0.111,-0.096,-0.153
3.91,9.997,-0.112,-0.106,-0.157
3.92,9.997,-0.113,-0.116,-0.162
3.93,9.997,-0.115,-0.126,-0.166
3.94,9.996,-0.116,-0.136,-0.17
3.95,9.996,-0.118,-0.146,-0.175
3.96,9.996,-0.119,-0.156,-0.179
3.97,9.996,-0.121,-0.166,-0.183
3.98,9.995,-0.123,-0.176,-0.188
3.99,9.995,-0.125,-0.186,-0.192
4,9.995,-0.127,-0.196,-0.196
4.01,9.994,-0.129,-0.207,-0.201
4.02,9.994,-0.13,-0.217,-0.205
4.03,9.994,-0.132,-0.227,-0.209
4.04,9.993,-0.134,-0.237,-0.214
4.05,9.993,-0.136,-0.247,-0.218
4.06,9.993,-0.138,-0.257,-0.222
4.07,9.992,-0.14,-0.267,-0.227
4.08,9.992,-0.143,-0.277,-0.231
4.09,9.992,-0.145,-0.287,-0.235
4.1,9.991,-0.147,-0.297,-0.239
4.11,9.991,-0.149,-0.307,-0.243
4.12,9.99,-0.152,-0.316,-0.248
4.13,9.99,-0.154,-0.326,-0.252
4.14,9.989,-0.156,-0.336,-0.256
4.15,9.989,-0.158,-0.345,-0.26
4.16,9.988,-0.161,-0.355,-0.264
4.17,9.988,-0.163,-0.364,-0.268
4.18,9.987,-0.165,-0.373,-0.272
4.19,9.987,-0.168,-0.382,-0.276
4.2,9.986,-0.17,-0.391,-0.28
4.21,9.986,-0.172,-0.4,-0.284
4.22,9.985,-0.175,-0.409,-0.287
4.23,9.985,-0.177,-0.417,-0.291
4.24,9.984,-0.179,-0.426,-0.295
4.25,9.984,-0.182,-0.435,-0.299
4.26,9.983,-0.184,-0.443,-0.302
4.27,9.983,-0.186,-0.452,-0.306
4.28,9.982,-0.189,-0.46,-0.309
4.29,9.982,-0.191,-0.468,-0.313
4.3,9.981,-0.193,-0.476,-0.316
4.31,9.981,-0.196,-0.484,-0.32
4.32,9.98,-0.198,-0.492,-0.323
4.33,9.98,-0.201,-0.5,-0.326
4.34,9.979,-0.203,-0.507,-0.329
4.35,9.979,-0.205,-0.515,-0.333
4.36,9.978,-0.207,-0.522,-0.336
4.37,9.977,-0.21,-0.53,-0.338
4.38,9.977,-0.212,-0.537,-0.341
4.39,9.976,-0.215,-0.544,-0.344
4.4,9.976,-0.217,-0.55,-0.347
4.41,9.975,-0.22,-0.557,-0.349
4.42,9.975,-0.222,-0.563,-0.352
4.43,9.974,-0.225,-0.57,-0.354
4.44,9.974,-0.227,-0.576,-0.357
4.45,9.973,-0.23,-0.582,-0.359
4.46,9.973,-0.233,-0.588,-0.361
4.47,9.972,-0.236,-0.593,-0.363
4.48,9.972,-0.238,-0.599,-0.365
4.49,9.972,-0.241,-0.604,-0.367
4.5,9.971,-0.244,-0.61,-0.368
4.51,9.971,-0.246,-0.615,-0.37
4.52,9.97,-0.249,-0.62,-0.372
4.53,9.97,-0.252,-0.625,-0.373
4.54,9.969,-0.255,-0.629,-0.375
4.55,9.969,-0.258,-0.633,-0.376
4.56,9.969,-0.26,-0.637,-0.377
4.57,9.968,-0.263,-0.641,-0.379
4.58,9.968,-0.266,-0.645,-0.38
4.59,9.968,-0.269,-0.648,-0.381
4.6,9.967,-0.272,-0.652,-0.382
4.61,9.967,-0.275,-0.654,-0.383
4.62,9.967,-0.278,-0.657,-0.383
4.63,9.966,-0.28,-0.66,-0.384
4.64,9.966,-0.283,-0.662,-0.384
4.65,9.966,-0.286,-0.664,-0.385
4.66,9.966,-0.289,-0.666,-0.385
4.67,9.965,-0.292,-0.667,-0.386
4.68,9.965,-0.294,-0.669,-0.386
4.69,9.965,-0.297,-0.67,-0.386
4.7,9.965,-0.299,-0.67,-0.386
4.71,9.965,-0.302,-0.671,-0.386
4.72,9.965,-0.304,-0.671,-0.386
4.73,9.965,-0.307,-0.671,-0.386
4.74,9.965,-0.309,-0.671,-0.385
4.75,9.965,-0.312,-0.671,-0.385
4.76,9.965,-0.314,-0.67,-0.385
4.77,9.965,-0.316,-0.669,-0.384
4.78,9.965,-0.318,-0.667,-0.384
4.79,9.965,-0.321,-0.666,-0.383
4.8,9.965,-0.323,-0.664,-0.382
4.81,9.965,-0.326,-0.662,-0.382
4.82,9.965,-0.328,-0.66,-0.381
4.83,9.965,-0.33,-0.658,-0.38
4.84,9.965,-0.332,-0.655,-0.379
4.85,9.965,-0.334,-0.653,-0.378
4.86,9.966,-0.336,-0.65,-0.377
4.87,9.966,-0.339,-0.647,-0.376
4.88,9.966,-0.341,-0.644,-0.375
4.89,9.966,-0.343,-0.64,-0.373
4.9,9.966,-0.345,-0.637,-0.372
4.91,9.966,-0.348,-0.634,-0.371
4.92,9.967,-0.35,-0.63,-0.369
4.93,9.967,-0.352,-0.627,-0.368
4.94,9.967,-0.354,-0.623,-0.366
4.95,9.967,-0.356,-0.619,-0.365
4.96,9.967,-0.358,-0.615,-0.363
4.97,9.968,-0.36,-0.611,-0.361
4.98,9.968,-0.362,-0.607,-0.36
4.99,9.968,-0.364,-0.603,-0.358
5,9.968,-0.366,-0.598,-0.356
5.01,9.969,-0.367,-0.593,-0.354
5.02,9.969,-0.369,-0.588,-0.352
5.03,9.969,-0.371,-0.583,-0.35
5.04,9.97,-0.372,-0.578,-0.348
5.05,9.97,-0.374,-0.573,-0.346
5.06,9.97,-0.376,-0.567,-0.343
5.07,9.971,-0.377,-0.561,-0.341
5.08,9.971,-0.379,-0.555,-0.338
5.09,9.971,-0.38,-0.549,-0.336
5.1,9.972,-0.381,-0.543,-0.333
5.11,9.972,-0.382,-0.537,-0.331
5.12,9.973,-0.383,-0.53,-0.328
5.13,9.973,-0.384,-0.524,-0.325
5.14,9.973,-0.386,-0.518,-0.323
5.15,9.974,-0.387,-0.511,-0.32
5.16,9.974,-0.388,-0.505,-0.318
5.17,9.974,-0.389,-0.498,-0.315
5.18,9.975,-0.39,-0.492,-0.312
5.19,9.975,-0.391,-0.485,-0.309
5.2,9.976,-0.392,-0.478,-0.307
5.21,9.976,-0.393,-0.471,-0.304
5.22,9.976,-0.394,-0.465,-0.301
5.23,9.977,-0.394,-0.458,-0.298
5.24,9.977,-0.395,-0.451,-0.295
5.25,9.977,-0.396,-0.444,-0.293
5.26,9.978,-0.396,-0.437,-0.29
5.27,9.978,-0.397,-0.43,-0.287
5.28,9.979,-0.398,-0.423,-0.284
5.29,9.979,-0.398,-0.416,-0.281
5.3,9.979,-0.399,-0.409,-0.278
5.31,9.98,-0.399,-0.402,-0.275
5.32,9.98,-0.4,-0.395,-0.272
5.33,9.98,-0.4,-0.388,-0.269
5.34,9.981,-0.4,-0.381,-0.266
5.35,9.981,-0.401,-0.374,-0.263
5.36,9.981,-0.401,-0.367,-0.26
5.37,9.982,-0.401,-0.36,-0.257
5.38,9.982,-0.401,-0.352,-0.254
5.39,9.982,-0.401,-0.345,-0.251
5.4,9.983,-0.401,-0.338,-0.248
5.41,9.983,-0.401,-0.331,-0.245
5.42,9.983,-0.401,-0.324,-0.242
5.43,9.984,-0.4,-0.317,-0.239
5.44,9.984,-0.4,-0.31,-0.236
5.45,9.984,-0.4,-0.303,-0.234
5.46,9.984,-0.4,-0.296,-0.231
5.47,9.985,-0.4,-0.29,-0.228
5.48,9.985,-0.399,-0.283,-0.225
5.49,9.985,-0.399,-0.276,-0.222
5.5,9.985,-0.399,-0.269,-0.22
5.51,9.986,-0.398,-0.262,-0.217
5.52,9.986,-0.397,-0.256,-0.214
5.53,9.986,-0.397,-0.249,-0.212
5.54,9.986,-0.396,-0.242,-0.209
5.55,9.987,-0.396,-0.235,-0.206
5.56,9.987,-0.395,-0.229,-0.204
5.57,9.987,-0.394,-0.222,-0.201
5.58,9.987,-0.394,-0.215,-0.199
