2026-04-11 00:06:57.887630 | 745646256 -653
2026-04-11 00:06:57.888380 | 745648972 -588
2026-04-11 00:06:57.889136 | 745652164 -503
2026-04-11 00:06:57.889825 | 745655364 -338
2026-04-11 00:06:57.890494 | 745658552 -375
2026-04-11 00:06:57.891222 | 745661748 -526
2026-04-11 00:06:57.891898 | 745664936 -531
2026-04-11 00:06:57.892587 | 745668140 -532
2026-04-11 00:06:57.893301 | 745671352 -575
2026-04-11 00:06:57.894030 | 745674080 -294
2026-04-11 00:06:57.894711 | 745677264 -117
2026-04-11 00:06:57.895430 | 745680464 -550
2026-04-11 00:06:57.896205 | 745683672 -575
2026-04-11 00:06:57.974668 | 745686868 -384
2026-04-11 00:06:57.975604 | 745690056 -485
2026-04-11 00:06:57.976247 | 745693252 -276
2026-04-11 00:06:57.976882 | 745695972 -5
2026-04-11 00:06:57.977536 | 745699544 -216
2026-04-11 00:06:57.978163 | 745702256 -171
2026-04-11 00:06:57.978750 | 745705448 8
2026-04-11 00:06:57.979421 | 745708524 -101
2026-04-11 00:06:57.980093 | 745711712 148
2026-04-11 00:06:57.980712 | 745714888 487
2026-04-11 00:06:57.981332 | 745718048 318
2026-04-11 00:06:57.981986 | 745721220 393
2026-04-11 00:06:57.982658 | 745724396 626
2026-04-11 00:06:57.983314 | 745727576 555
2026-04-11 00:06:57.983968 | 745730748 766
2026-04-11 00:06:57.984605 | 745733920 917
2026-04-11 00:06:57.985222 | 745737104 1114
2026-04-11 00:06:57.985901 | 745739884 1197
2026-04-11 00:06:57.986726 | 745743120 944
2026-04-11 00:06:57.987710 | 745746300 1227
2026-04-11 00:06:57.988650 | 745749536 1492
2026-04-11 00:06:57.989622 | 745752760 1465
2026-04-11 00:06:57.990589 | 745755524 1842
2026-04-11 00:06:57.991529 | 745758764 1937
2026-04-11 00:06:57.992416 | 745761984 1716
2026-04-11 00:06:57.993327 | 745765212 2007
2026-04-11 00:06:57.994279 | 745768452 2390
2026-04-11 00:06:57.995206 | 745771224 2097
2026-04-11 00:06:57.996103 | 745774452 2554
2026-04-11 00:06:57.997035 | 745777684 3441
2026-04-11 00:06:57.997969 | 745780928 2516
2026-04-11 00:06:57.998848 | 745783684 2085
2026-04-11 00:06:58.071790 | 745786916 3736
2026-04-11 00:06:58.072851 | 745790156 3815
2026-04-11 00:06:58.073756 | 745793416 2610
2026-04-11 00:06:58.074528 | 745796652 3723
2026-04-11 00:06:58.075253 | 745799412 4530
2026-04-11 00:06:58.075998 | 745802656 3485
2026-04-11 00:06:58.076782 | 745805884 3472
2026-04-11 00:06:58.077541 | 745809112 4471
2026-04-11 00:06:58.078245 | 745811868 4602
2026-04-11 00:06:58.079298 | 745815112 4463
2026-04-11 00:06:58.080357 | 745818348 4768
2026-04-11 00:06:58.081484 | 745821568 5105
2026-04-11 00:06:58.082558 | 745824804 5280
2026-04-11 00:06:58.083652 | 745827564 5039
2026-04-11 00:06:58.084726 | 745830808 4792
2026-04-11 00:06:58.085815 | 745834040 5647
2026-04-11 00:06:58.086857 | 745837276 6720
2026-04-11 00:06:58.087842 | 745840060 6157
2026-04-11 00:06:58.088842 | 745843292 4814
2026-04-11 00:06:58.089806 | 745846524 5353
2026-04-11 00:06:58.090776 | 745849764 7142
2026-04-11 00:06:58.091764 | 745852992 7105
2026-04-11 00:06:58.092567 | 745855760 6010
2026-04-11 00:06:58.093305 | 745858996 5921
2026-04-11 00:06:58.094011 | 745862252 6726
2026-04-11 00:06:58.094685 | 745865476 7501
2026-04-11 00:06:58.095348 | 745868244 7026
2026-04-11 00:06:58.096032 | 745871484 6441
2026-04-11 00:06:58.096709 | 745874708 7232
2026-04-11 00:06:58.097364 | 745877956 8389
2026-04-11 00:06:58.097966 | 745881192 8038
2026-04-11 00:06:58.168655 | 745883956 6919
2026-04-11 00:06:58.169583 | 745887192 6820
2026-04-11 00:06:58.170222 | 745890420 7567
2026-04-11 00:06:58.170980 | 745893668 8668
2026-04-11 00:06:58.171661 | 745896428 8599
2026-04-11 00:06:58.172352 | 745899668 7390
2026-04-11 00:06:58.173077 | 745902908 6827
2026-04-11 00:06:58.173773 | 745906132 7614
2026-04-11 00:06:58.174431 | 745909376 9235
2026-04-11 00:06:58.175132 | 745912136 9166
2026-04-11 00:06:58.175865 | 745915384 7789
2026-04-11 00:06:58.176566 | 745918632 7098
2026-04-11 00:06:58.177245 | 745921868 7477
2026-04-11 00:06:58.178007 | 745924636 10344
2026-04-11 00:06:58.178757 | 745927916 10935
2026-04-11 00:06:58.179435 | 745931208 7618
2026-04-11 00:06:58.180187 | 745934440 6157
2026-04-11 00:06:58.181016 | 745937208 7418
2026-04-11 00:06:58.181754 | 745940436 9547
2026-04-11 00:06:58.182474 | 745943676 13840
2026-04-11 00:06:58.183291 | 745946960 10873
2026-04-11 00:06:58.184013 | 745949792 5852
2026-04-11 00:06:58.184697 | 745953024 6239
2026-04-11 00:06:58.185402 | 745956268 7312
2026-04-11 00:06:58.186162 | 745959512 11123
2026-04-11 00:06:58.186854 | 745962324 16926
2026-04-11 00:06:58.187568 | 745965628 10511
2026-04-11 00:06:58.188287 | 745968924 4936
2026-04-11 00:06:58.189010 | 745971676 7015
2026-04-11 00:06:58.189696 | 745974932 7438
2026-04-11 00:06:58.190413 | 745978160 10017
2026-04-11 00:06:58.262897 | 745981440 16000
2026-04-11 00:06:58.263819 | 745984256 10113
2026-04-11 00:06:58.264430 | 745987528 5252
