2026-04-10 23:55:47.867320 | 76000428 -553
2026-04-10 23:55:47.867941 | 76003564 -442
2026-04-10 23:55:47.868554 | 76006692 -455
2026-04-10 23:55:47.869149 | 76009816 -642
2026-04-10 23:55:47.869731 | 76012944 -689
2026-04-10 23:55:47.870327 | 76016088 -614
2026-04-10 23:55:47.870935 | 76019224 -579
2026-04-10 23:55:47.871562 | 76022364 -516
2026-04-10 23:55:47.872171 | 76025508 -433
2026-04-10 23:55:47.872758 | 76028656 -584
2026-04-10 23:55:47.873333 | 76031800 -693
2026-04-10 23:55:47.873932 | 76034936 -648
2026-04-10 23:55:47.957303 | 76038068 -587
2026-04-10 23:55:47.958220 | 76041200 -544
2026-04-10 23:55:47.958839 | 76044356 -427
2026-04-10 23:55:47.959469 | 76047480 -520
2026-04-10 23:55:47.960111 | 76050596 -675
2026-04-10 23:55:47.960734 | 76053720 -690
2026-04-10 23:55:47.961357 | 76056848 -605
2026-04-10 23:55:47.962024 | 76059980 -570
2026-04-10 23:55:47.962664 | 76063108 -465
2026-04-10 23:55:47.963292 | 76066248 -436
2026-04-10 23:55:47.963927 | 76069384 -625
2026-04-10 23:55:47.964567 | 76072528 -718
2026-04-10 23:55:47.965277 | 76075656 -649
2026-04-10 23:55:47.965967 | 76078800 -584
2026-04-10 23:55:47.966616 | 76081936 -511
2026-04-10 23:55:47.967247 | 76085072 -420
2026-04-10 23:55:47.967883 | 76088216 -567
2026-04-10 23:55:47.968555 | 76091352 -702
2026-04-10 23:55:47.969254 | 76094492 -675
2026-04-10 23:55:47.969916 | 76097632 -598
2026-04-10 23:55:47.970540 | 76100764 -551
2026-04-10 23:55:47.971158 | 76103892 -430
2026-04-10 23:55:47.971832 | 76107032 -489
2026-04-10 23:55:47.972460 | 76110176 -670
2026-04-10 23:55:47.973120 | 76113292 -711
2026-04-10 23:55:47.973754 | 76116432 -624
2026-04-10 23:55:47.974374 | 76119568 -575
2026-04-10 23:55:47.975054 | 76122708 -482
2026-04-10 23:55:47.975684 | 76125844 -423
2026-04-10 23:55:47.976301 | 76128992 -598
2026-04-10 23:55:47.976904 | 76132132 -705
2026-04-10 23:55:47.977475 | 76135272 -662
2026-04-10 23:55:47.978073 | 76138408 -599
2026-04-10 23:55:48.060573 | 76141564 -532
2026-04-10 23:55:48.061432 | 76144696 -421
2026-04-10 23:55:48.062123 | 76147820 -526
2026-04-10 23:55:48.062760 | 76150948 -681
2026-04-10 23:55:48.063369 | 76154092 -678
2026-04-10 23:55:48.063987 | 76157220 -597
2026-04-10 23:55:48.064589 | 76160360 -554
2026-04-10 23:55:48.065210 | 76163484 -443
2026-04-10 23:55:48.065825 | 76166604 -456
