TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS
9586524;45;53;50;5317;95;
9586725;45;53;50;5311;104;
9586926;45;53;50;5305;102;
9587126;45;53;50;5299;98;
9587325;45;53;50;5307;97;
9587526;45;53;50;5301;100;
9587726;45;53;50;5317;88;
9587926;45;53;50;5302;92;
9588127;45;53;50;5320;106;
9588327;45;53;50;5305;99;
9588527;45;53;50;5307;106;
9588727;45;53;50;5309;96;
9588927;45;53;50;5302;91;
9589127;45;53;50;5301;106;
9589327;45;53;50;5316;98;
9589527;45;53;50;5305;94;
9589726;45;53;50;5310;93;
9589928;45;53;50;5316;97;
9590128;45;53;50;5314;88;
9590328;45;53;50;5310;100;
9590527;45;53;50;5319;102;
9590727;45;53;50;5315;105;
9590927;45;53;50;5310;106;
9591127;45;53;50;5305;97;
9591326;45;53;49;5307;95;
9591527;45;53;49;5305;100;
9591727;45;53;49;5302;90;
9591928;45;53;49;5314;88;
9592129;45;53;49;5303;89;
9592330;45;53;49;5317;100;
9592530;45;53;49;5320;98;
9592730;45;53;49;5311;93;
9592929;45;53;49;5305;83;
9593129;45;53;49;5309;102;
9593329;45;53;49;5311;91;
9593528;45;53;49;5303;99;
9593728;45;53;49;5328;97;
9593929;45;53;50;5299;87;
9594129;45;53;50;5318;80;
9594328;45;53;50;5300;92;
9594528;45;53;50;5311;97;
9594729;45;53;50;5299;100;
9594928;45;53;50;5317;108;
9595128;45;53;50;5309;100;
9595328;45;53;50;5315;110;
9595527;45;53;50;5313;95;
9595727;45;53;50;5309;99;
9595926;45;53;50;5313;92;
9596126;45;53;50;5312;100;
9596329;45;53;50;5308;96;
9596529;45;53;50;5311;104;
9596729;45;53;50;5319;98;
9596929;45;53;50;5313;101;
9597130;45;53;50;5296;104;
9597330;45;53;50;5309;100;
9597530;45;53;50;5301;101;
9597730;45;53;50;5317;100;
9597931;45;53;50;5302;103;
9598131;45;53;50;5303;98;
9598330;45;53;50;5312;107;
9598530;45;53;50;5311;92;
9598730;45;53;50;5299;97;
9598929;45;53;50;5308;104;
9599130;45;53;50;5336;99;
9599330;45;53;50;5316;108;
9599530;45;53;50;5315;107;
9599729;45;53;50;5303;106;
9599929;45;53;50;5304;114;
9600129;45;53;50;5308;104;
9600329;45;53;50;5309;100;
9600529;45;53;50;5301;98;
9600730;45;53;50;5309;100;
9600930;45;53;50;5313;98;
9601129;45;53;50;5308;98;
9601329;45;53;50;5303;102;
9601531;45;53;50;5314;98;
9601730;45;53;50;5311;110;
9601930;45;53;50;5313;99;
9602129;45;53;50;5322;95;
9602330;45;53;50;5321;116;
9602530;45;53;50;5311;100;
9602731;45;53;50;5325;88;
9602933;45;53;50;5304;96;
9603133;45;53;50;5309;91;
9603333;45;53;50;5310;110;
9603533;45;53;50;5311;108;
9603734;45;53;50;5312;97;
9603935;45;53;50;5324;101;
9604136;45;53;50;5301;100;
9604336;45;53;50;5299;94;
9604535;45;53;50;5319;94;
9604735;45;53;50;5317;90;
9604934;45;53;50;5299;104;
9605136;45;53;50;5302;108;
9605337;45;53;50;5305;101;
9605537;45;53;50;5317;99;
9605736;45;53;50;5311;93;
9605936;45;53;50;5312;102;
9606137;45;53;50;5305;92;
9606337;45;53;50;5300;107;
9606537;45;53;50;5309;90;
9606737;45;53;50;5305;95;
9606938;45;53;50;5298;106;
9607137;45;53;50;5320;94;
9607337;45;53;50;5311;99;
9607539;45;53;50;5320;104;
9607738;45;53;50;5314;96;
9607938;45;53;50;5307;104;
9608138;45;53;50;5318;96;
9608337;45;53;50;5298;100;
9608537;45;53;50;5320;97;
9608736;45;53;50;5319;94;
9608937;45;53;50;5312;95;
9609137;45;53;50;5299;94;
9609337;45;53;50;5308;114;
9609537;45;53;50;5314;95;
