Time,ADC_CH0,ADC_CH1,ADC_CH2,ADC_CH3,PWM_Val
13.85,2873,2874,2,742,307
13.92,2873,2875,2,741,216
13.99,2874,2875,2,740,330
14.06,2874,2874,3,748,375
14.13,2873,2874,2,739,261
14.20,2874,2875,3,748,261
14.26,2874,2875,2,740,375
14.34,2873,2874,2,743,330
14.41,2874,2875,3,744,216
14.47,2874,2874,2,742,307
14.55,2874,2874,2,741,398
14.64,2873,2874,2,742,284
14.71,2874,2875,2,741,239
14.78,2874,2874,2,743,353
14.86,2873,2875,2,741,353
14.95,2873,2874,2,741,239
15.02,2873,2874,2,743,284
15.09,2874,2875,2,740,398
15.15,2874,2875,3,746,307
15.22,2874,2874,2,741,216
15.29,2874,2874,2,741,330
15.36,2874,2875,2,740,375
15.43,2874,2875,2,743,261
15.50,2874,2875,3,747,261
15.57,2873,2875,2,740,375
15.64,2873,2874,2,743,330
15.71,2874,2875,2,740,216
15.77,2874,2875,2,741,307
15.84,2874,2875,2,743,398
15.91,2874,2875,3,745,284
15.98,2874,2875,2,743,239
16.04,2874,2875,2,741,353
16.11,2874,2875,2,740,353
16.18,2874,2874,2,741,239
16.25,2874,2875,2,743,284
16.32,2874,2875,2,742,398
16.39,2874,2640,3,744,307
16.46,2874,2875,2,743,216
16.53,2873,2874,2,740,330
16.59,2874,2875,2,742,375
16.67,2874,2875,2,740,261
16.75,2874,2874,3,747,261
16.83,2873,2875,2,742,375
16.91,2874,2874,2,741,330
16.98,2874,2875,3,748,216
17.05,2873,2874,2,739,307
17.12,2874,2874,2,743,398
17.18,2874,2875,2,742,284
17.25,2874,2875,3,746,239
17.32,2874,2874,2,743,353
17.39,2874,2875,2,739,353
17.46,2874,2875,3,748,239
17.53,2874,2875,2,740,284
17.60,2874,2875,2,743,398
17.67,2874,2875,3,744,307
17.74,2874,2875,2,743,216
17.81,2873,2875,2,740,330
17.89,2874,2874,2,739,375
17.96,2874,2875,3,748,261
18.02,2874,2875,2,741,261
18.09,2874,2875,2,740,375
18.17,2874,2875,2,739,330
18.24,2873,2874,2,740,216
18.31,2874,2874,2,741,307
18.38,2874,2875,2,743,398
18.45,2874,2874,2,739,284
18.52,2874,2875,2,743,239
18.58,2874,2875,2,741,353
18.65,2874,2874,2,740,353
18.72,2874,2875,2,743,239
