,timestamp,loggingstate,currentmode,newboardtempevent1,newboardtempevent2,newboardtempevent3,newchamberpressevent1,newoxidizerpressevent,newpressurefeedpressevent,newtempevent_1,newtempevent_2,newtempevent_3,newoxidizerdumpvalveevent,newoxidizermainvalveevent,newoxidizerventvalveevent,newpressurefeedmainevent,newpressurefeedventevent,newsystemusage,newbme280event,newboardtempevent_1,newboardtempevent_2,newboardtempevent_3,newimuevent,newparachutestatusevent,gpsrmcstatusevent,gpsstatusevent,gpsvtgstatusevent,primestatusevent,newsystemusage.1,currentmodestatusevent
0,18:27:13.153983,,2,27.7,28.2,28.0,1.19,20.92,22.78707269277578,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
1,18:27:13.255918,,2,27.7,28.2,28.0,1.19,21.29,21.547072767175763,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
2,18:27:13.357856,,2,27.7,28.2,28.0,1.25,21.23,22.6270727023758,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
3,18:27:13.460867,,2,27.7,28.2,28.0,1.22,21.23,20.627072822375766,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
4,18:27:13.563416,,2,27.7,28.2,28.0,0.82,21.19,21.827072750375777,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
5,18:27:13.666505,,2,27.7,28.2,28.0,0.88,21.19,22.22707272637578,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
6,18:27:13.769657,,2,27.7,28.2,28.0,1.15,21.23,21.307072781575783,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
7,18:27:13.872169,,2,27.7,28.2,28.0,1.02,21.06,22.507072709575795,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
8,18:27:13.975134,,2,27.7,28.2,28.0,0.78,21.23,21.707072757575773,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
9,18:27:14.079392,,2,27.7,28.2,28.0,0.88,21.23,21.147072791175773,20.5,,,0,0,0,1,0,"[5.263524778702007e+23, 1.1570521419930015e-41, -1.307790000737441e-07]",,,,,,,,,,1,,
