TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
35098;0;0;0;5624.00;75.00;43.65;7.36;65.02;1.45
35104;0;0;0;5624.00;105.00;43.65;7.36;65.02;1.45
35110;0;0;0;5624.00;112.00;43.65;7.36;65.02;1.47
35115;0;0;0;5624.00;112.00;43.65;7.36;65.02;1.47
35121;0;0;0;5624.00;65.00;43.65;7.36;65.02;1.47
35126;0;0;0;5624.00;65.00;43.65;7.36;65.02;1.45
35132;0;0;0;5624.00;95.00;43.65;7.36;65.02;1.45
35137;0;0;0;5624.00;95.00;43.65;7.36;65.02;1.46
35142;0;0;0;5624.00;58.00;43.65;7.36;65.02;1.46
35148;0;0;0;5624.00;58.00;43.65;7.36;65.02;1.44
35154;0;0;0;5624.00;65.00;43.65;7.36;65.02;1.44
35160;0;0;0;5621.00;65.00;43.65;7.36;65.02;1.44
35165;0;0;0;5621.00;108.00;43.65;7.36;65.02;2.02
35171;0;0;0;5621.00;108.00;43.65;7.36;65.02;1.57
35176;0;0;0;5621.00;108.00;43.65;7.36;65.02;1.57
35182;0;0;0;5621.00;108.00;43.65;7.36;65.02;1.50
35187;0;0;0;5621.00;119.00;43.65;7.36;65.02;1.50
35192;0;0;0;5621.00;119.00;43.65;7.36;65.02;1.49
35199;0;0;0;5621.00;108.00;43.65;7.36;65.02;1.49
35205;0;0;0;5621.00;65.00;43.65;7.36;65.02;1.48
35211;0;0;0;5621.00;65.00;43.65;7.36;65.02;1.48
35216;0;0;0;5621.00;102.00;43.65;7.36;65.02;1.46
35222;0;0;0;5621.00;102.00;43.65;7.36;65.02;1.46
35227;0;0;0;5621.00;72.00;43.65;7.36;65.02;1.46
35232;0;0;0;5621.00;72.00;43.65;7.36;65.02;1.46
35238;0;0;0;5621.00;72.00;43.65;7.36;65.02;1.44
35243;0;0;0;5621.00;72.00;43.65;7.36;65.02;1.44
35249;0;0;0;5621.00;65.00;43.65;7.36;65.02;1.43
35254;0;0;0;5621.00;65.00;43.65;7.36;65.02;1.43
35261;0;0;0;5590.00;102.00;43.65;7.36;65.02;1.45
35266;0;0;0;5590.00;102.00;43.65;7.36;65.02;1.46
35272;0;0;0;5590.00;88.00;43.65;7.36;65.02;1.46
35277;0;0;0;5590.00;88.00;43.65;7.36;65.02;1.46
35283;0;0;0;5590.00;115.00;43.65;7.36;65.02;1.46
35288;0;0;0;5590.00;115.00;43.65;7.36;65.02;1.48
35294;0;0;0;5590.00;85.00;43.65;7.36;65.02;1.48
35299;0;0;0;5590.00;85.00;43.65;7.36;65.02;1.45
35305;0;0;0;5590.00;95.00;43.65;7.36;65.02;1.45
35311;0;0;0;5590.00;95.00;43.65;7.36;65.02;1.46
35317;0;0;0;5590.00;112.00;43.65;7.36;65.02;1.46
35323;0;0;0;5590.00;112.00;43.65;7.36;65.02;1.47
35329;0;0;0;5590.00;112.00;43.65;7.36;65.02;1.47
35335;0;0;0;5590.00;78.00;43.65;7.36;65.02;1.45
35340;0;0;0;5590.00;72.00;43.65;7.36;65.02;1.45
35346;0;0;0;5590.00;92.00;43.65;7.36;65.02;1.44
35351;0;0;0;5590.00;92.00;43.65;7.36;65.02;1.44
35357;0;0;0;5590.00;72.00;43.65;7.36;65.02;1.46
35363;0;0;0;5560.00;72.00;43.65;7.36;65.02;1.46
35369;0;0;0;5560.00;72.00;43.65;7.36;65.02;1.99
35375;0;0;0;5560.00;88.00;43.65;7.36;65.02;1.99
35384;0;0;0;5560.00;95.00;43.65;7.36;65.02;1.55
35391;0;0;0;5560.00;112.00;40.14;7.35;65.02;1.48
35396;0;0;0;5560.00;112.00;40.14;7.35;65.02;1.48
35402;0;0;0;5560.00;61.00;40.14;7.35;65.02;1.48
35409;0;0;0;5560.00;61.00;40.14;7.35;65.02;1.48
35414;0;0;0;5560.00;95.00;40.14;7.35;65.02;1.45
35420;0;0;0;5560.00;95.00;40.14;7.35;65.02;1.45
35426;0;0;0;5560.00;112.00;40.14;7.35;65.02;1.45
35432;0;0;0;5560.00;105.00;40.14;7.35;65.02;1.47
35437;0;0;0;5560.00;105.00;40.14;7.35;65.02;1.47
35443;0;0;0;5560.00;85.00;40.14;7.35;65.02;1.47
35448;0;0;0;5560.00;85.00;40.14;7.35;65.02;1.45
35454;0;0;0;5560.00;85.00;40.14;7.35;65.02;1.45
35461;0;0;0;5560.00;85.00;40.14;7.35;65.02;1.44
35469;0;0;0;5594.00;58.00;40.14;7.35;65.02;1.44
35474;0;0;0;5594.00;58.00;40.14;7.35;65.02;1.95
35480;0;0;0;5594.00;108.00;40.14;7.35;65.02;1.95
35485;0;0;0;5594.00;108.00;40.14;7.35;65.02;1.56
35490;0;0;0;5594.00;85.00;40.14;7.35;65.02;1.56
35496;0;0;0;5594.00;85.00;40.14;7.35;65.02;1.47
35505;0;0;0;5594.00;65.00;40.14;7.35;65.02;1.47
35510;0;0;0;5594.00;92.00;40.14;7.35;65.02;1.45
35516;0;0;0;5594.00;92.00;40.14;7.35;65.02;1.45
35521;0;0;0;5594.00;108.00;40.14;7.35;65.02;1.47
35527;0;0;0;5594.00;108.00;40.14;7.35;65.02;1.47
35533;0;0;0;5594.00;85.00;40.14;7.35;65.02;1.45
35538;0;0;0;5594.00;85.00;40.14;7.35;65.02;1.45
35545;0;0;0;5594.00;85.00;40.14;7.35;65.02;1.45
35550;0;0;0;5594.00;92.00;40.14;7.35;65.02;1.46
