2026-04-10 23:41:41.468461 | 2068248 -1757
2026-04-10 23:41:41.573839 | 2071408 -1742
2026-04-10 23:41:41.574638 | 2074568 -1745
2026-04-10 23:41:41.575125 | 2077724 -1748
2026-04-10 23:41:41.575588 | 2080872 -1739
2026-04-10 23:41:41.576033 | 2084012 -1732
2026-04-10 23:41:41.576481 | 2087152 -1739
2026-04-10 23:41:41.576929 | 2090292 -1732
2026-04-10 23:41:41.577367 | 2093432 -1711
2026-04-10 23:41:41.577833 | 2096584 -1702
2026-04-10 23:41:41.578265 | 2099728 -1717
2026-04-10 23:41:41.578708 | 2102876 -1718
2026-04-10 23:41:41.579154 | 2105548 -1715
2026-04-10 23:41:41.579596 | 2108704 -1700
2026-04-10 23:41:41.580034 | 2111856 -1671
2026-04-10 23:41:41.580464 | 2115008 -1676
2026-04-10 23:41:41.580936 | 2118152 -1685
2026-04-10 23:41:41.581364 | 2121300 -1672
2026-04-10 23:41:41.581843 | 2124444 -1671
2026-04-10 23:41:41.582277 | 2127588 -1668
2026-04-10 23:41:41.582744 | 2130736 -1659
2026-04-10 23:41:41.583190 | 2133896 -1672
2026-04-10 23:41:41.583633 | 2137044 -1673
2026-04-10 23:41:41.584067 | 2140208 -1668
2026-04-10 23:41:41.584492 | 2143352 -1665
2026-04-10 23:41:41.584965 | 2146496 -1668
2026-04-10 23:41:41.585393 | 2149636 -1671
2026-04-10 23:41:41.585854 | 2152780 -1686
2026-04-10 23:41:41.586298 | 2155924 -1677
2026-04-10 23:41:41.586774 | 2159064 -1688
2026-04-10 23:41:41.587370 | 2162208 -1685
2026-04-10 23:41:41.588002 | 2165364 -1694
2026-04-10 23:41:41.588565 | 2168516 -1691
2026-04-10 23:41:41.589289 | 2171668 -1698
2026-04-10 23:41:41.676975 | 2174816 -1703
2026-04-10 23:41:41.677759 | 2177964 -1712
2026-04-10 23:41:41.678236 | 2181128 -1729
2026-04-10 23:41:41.678707 | 2184268 -1704
2026-04-10 23:41:41.679131 | 2187424 -1701
2026-04-10 23:41:41.679560 | 2190564 -1714
2026-04-10 23:41:41.680017 | 2193240 -1719
2026-04-10 23:41:41.680494 | 2196388 -1720
2026-04-10 23:41:41.680979 | 2199532 -1719
2026-04-10 23:41:41.681392 | 2202700 -1722
2026-04-10 23:41:41.681819 | 2205840 -1715
2026-04-10 23:41:41.682239 | 2208980 -1728
2026-04-10 23:41:41.682661 | 2212132 -1733
2026-04-10 23:41:41.683084 | 2215280 -1718
2026-04-10 23:41:41.683488 | 2218432 -1719
2026-04-10 23:41:41.683937 | 2221576 -1724
2026-04-10 23:41:41.684352 | 2224720 -1737
2026-04-10 23:41:41.684777 | 2227872 -1768
2026-04-10 23:41:41.685182 | 2231016 -1775
2026-04-10 23:41:41.685598 | 2234168 -1790
2026-04-10 23:41:41.686020 | 2237328 -1797
2026-04-10 23:41:41.686436 | 2240476 -1810
2026-04-10 23:41:41.686855 | 2243640 -1825
2026-04-10 23:41:41.687262 | 2246796 -1830
