2026-04-11 00:29:27.960636 | 2069744 -577
2026-04-11 00:29:28.070790 | 2073288 -582
2026-04-11 00:29:28.071147 | 2076376 -577
2026-04-11 00:29:28.071411 | 2079460 -574
2026-04-11 00:29:28.071667 | 2082544 -569
2026-04-11 00:29:28.071938 | 2085632 -580
2026-04-11 00:29:28.072200 | 2088720 -585
2026-04-11 00:29:28.072453 | 2092280 -590
2026-04-11 00:29:28.072703 | 2095364 -589
2026-04-11 00:29:28.072982 | 2098460 -574
2026-04-11 00:29:28.073234 | 2101552 -569
2026-04-11 00:29:28.073486 | 2104648 -578
2026-04-11 00:29:28.073751 | 2107732 -583
2026-04-11 00:29:28.074018 | 2110824 -592
2026-04-11 00:29:28.074270 | 2113904 -581
2026-04-11 00:29:28.074520 | 2116988 -580
2026-04-11 00:29:28.074787 | 2120068 -571
2026-04-11 00:29:28.075054 | 2123620 -580
2026-04-11 00:29:28.075312 | 2126712 -573
2026-04-11 00:29:28.075574 | 2129804 -568
2026-04-11 00:29:28.075844 | 2132888 -571
2026-04-11 00:29:28.076105 | 2135972 -576
2026-04-11 00:29:28.076453 | 2139056 -581
2026-04-11 00:29:28.076780 | 2142152 -592
2026-04-11 00:29:28.077122 | 2145236 -577
2026-04-11 00:29:28.077445 | 2148320 -568
2026-04-11 00:29:28.077733 | 2151416 -565
2026-04-11 00:29:28.078007 | 2154972 -572
2026-04-11 00:29:28.078261 | 2158068 -583
2026-04-11 00:29:28.078529 | 2161156 -586
2026-04-11 00:29:28.078828 | 2164240 -573
2026-04-11 00:29:28.079176 | 2167324 -568
2026-04-11 00:29:28.079515 | 2170412 -565
2026-04-11 00:29:28.079875 | 2173512 -572
2026-04-11 00:29:28.080217 | 2176600 -563
2026-04-11 00:29:28.080540 | 2179684 -568
2026-04-11 00:29:28.180867 | 2182760 -575
2026-04-11 00:29:28.181218 | 2185848 -572
2026-04-11 00:29:28.181471 | 2189420 -577
2026-04-11 00:29:28.181736 | 2192500 -578
