2026-04-11 00:31:49.323172 | 143270444 -562
2026-04-11 00:31:49.323451 | 143273644 -559
2026-04-11 00:31:49.323739 | 143276380 -554
2026-04-11 00:31:49.324022 | 143279568 -565
2026-04-11 00:31:49.324296 | 143282768 -582
2026-04-11 00:31:49.324571 | 143285968 -583
2026-04-11 00:31:49.324860 | 143289160 -580
2026-04-11 00:31:49.325146 | 143292352 -571
2026-04-11 00:31:49.325424 | 143295548 -570
2026-04-11 00:31:49.325700 | 143298728 -563
2026-04-11 00:31:49.326002 | 143301452 -564
2026-04-11 00:31:49.326279 | 143304636 -563
2026-04-11 00:31:49.326556 | 143307828 -558
2026-04-11 00:31:49.326844 | 143311016 -553
2026-04-11 00:31:49.327128 | 143314228 -562
2026-04-11 00:31:49.327407 | 143317424 -577
2026-04-11 00:31:49.327682 | 143320620 -570
2026-04-11 00:31:49.327986 | 143323356 -547
2026-04-11 00:31:49.328356 | 143326556 -564
2026-04-11 00:31:49.328790 | 143329748 -577
2026-04-11 00:31:49.329237 | 143332964 -574
2026-04-11 00:31:49.329664 | 143336160 -569
2026-04-11 00:31:49.330149 | 143339352 -552
2026-04-11 00:31:49.330516 | 143342536 -559
2026-04-11 00:31:49.330895 | 143345732 -570
2026-04-11 00:31:49.331279 | 143348448 -563
2026-04-11 00:31:49.331644 | 143351648 -560
2026-04-11 00:31:49.332036 | 143354832 -561
2026-04-11 00:31:49.332407 | 143358020 -572
2026-04-11 00:31:49.419972 | 143361204 -569
2026-04-11 00:31:49.420411 | 143364408 -556
2026-04-11 00:31:49.420789 | 143367604 -553
2026-04-11 00:31:49.421142 | 143370800 -560
2026-04-11 00:31:49.421483 | 143373528 -573
2026-04-11 00:31:49.421837 | 143376716 -582
2026-04-11 00:31:49.422187 | 143379900 -567
2026-04-11 00:31:49.422523 | 143383100 -570
2026-04-11 00:31:49.422869 | 143386304 -565
2026-04-11 00:31:49.423210 | 143389508 -554
2026-04-11 00:31:49.423551 | 143392708 -549
2026-04-11 00:31:49.423903 | 143395428 -542
2026-04-11 00:31:49.424245 | 143398636 -555
2026-04-11 00:31:49.424580 | 143401816 -570
