2026-02-22 13:42:51.229656 | -589
2026-02-22 13:42:51.229983 | -600
2026-02-22 13:42:51.230214 | -589
2026-02-22 13:42:51.230429 | -582
2026-02-22 13:42:51.230626 | -597
2026-02-22 13:42:51.230795 | -596
2026-02-22 13:42:51.245680 | -577
2026-02-22 13:42:51.246032 | -578
2026-02-22 13:42:51.246275 | -581
2026-02-22 13:42:51.246509 | -586
2026-02-22 13:42:51.246740 | -595
2026-02-22 13:42:51.261499 | -594
2026-02-22 13:42:51.261775 | -579
2026-02-22 13:42:51.261943 | -580
2026-02-22 13:42:51.262094 | -599
2026-02-22 13:42:51.262241 | -604
2026-02-22 13:42:51.277428 | -593
2026-02-22 13:42:51.277695 | -592
2026-02-22 13:42:51.277856 | -587
2026-02-22 13:42:51.278003 | -570
2026-02-22 13:42:51.278149 | -581
2026-02-22 13:42:51.293363 | -580
2026-02-22 13:42:51.293691 | -577
2026-02-22 13:42:51.293910 | -594
2026-02-22 13:42:51.294133 | -587
2026-02-22 13:42:51.294368 | -588
2026-02-22 13:42:51.309302 | -587
2026-02-22 13:42:51.309560 | -578
2026-02-22 13:42:51.309737 | -583
2026-02-22 13:42:51.309916 | -590
2026-02-22 13:42:51.310087 | -585
2026-02-22 13:42:51.325204 | -586
2026-02-22 13:42:51.325519 | -603
2026-02-22 13:42:51.325748 | -598
2026-02-22 13:42:51.325973 | -595
2026-02-22 13:42:51.326200 | -604
2026-02-22 13:42:51.341179 | -593
2026-02-22 13:42:51.341450 | -592
2026-02-22 13:42:51.341667 | -603
2026-02-22 13:42:51.341853 | -602
2026-02-22 13:42:51.342015 | -599
2026-02-22 13:42:51.357057 | -608
2026-02-22 13:42:51.357347 | -593
2026-02-22 13:42:51.357562 | -578
2026-02-22 13:42:51.357783 | -589
2026-02-22 13:42:51.358010 | -596
2026-02-22 13:42:51.372971 | -611
2026-02-22 13:42:51.373242 | -600
2026-02-22 13:42:51.373457 | -595
2026-02-22 13:42:51.373706 | -594
2026-02-22 13:42:51.373945 | -585
2026-02-22 13:42:51.389091 | -598
2026-02-22 13:42:51.389373 | -597
2026-02-22 13:42:51.389587 | -594
2026-02-22 13:42:51.389830 | -593
2026-02-22 13:42:51.390031 | -596
2026-02-22 13:42:51.404948 | -601
2026-02-22 13:42:51.405392 | -596
2026-02-22 13:42:51.405586 | -593
2026-02-22 13:42:51.405770 | -598
2026-02-22 13:42:51.405938 | -603
2026-02-22 13:42:51.406097 | -588
2026-02-22 13:42:51.420716 | -567
2026-02-22 13:42:51.421030 | -590
2026-02-22 13:42:51.421254 | -599
2026-02-22 13:42:51.421436 | -598
2026-02-22 13:42:51.421596 | -599
2026-02-22 13:42:51.436814 | -600
2026-02-22 13:42:51.437057 | -581
2026-02-22 13:42:51.437212 | -578
2026-02-22 13:42:51.437357 | -581
2026-02-22 13:42:51.437501 | -590
2026-02-22 13:42:51.452568 | -585
2026-02-22 13:42:51.452850 | -596
2026-02-22 13:42:51.453002 | -591
2026-02-22 13:42:51.453153 | -580
2026-02-22 13:42:51.453303 | -579
2026-02-22 13:42:51.468467 | -600
2026-02-22 13:42:51.468734 | -591
2026-02-22 13:42:51.468899 | -578
2026-02-22 13:42:51.469049 | -581
2026-02-22 13:42:51.469196 | -590
2026-02-22 13:42:51.484429 | -593
2026-02-22 13:42:51.484692 | -590
2026-02-22 13:42:51.484854 | -595
2026-02-22 13:42:51.485005 | -598
2026-02-22 13:42:51.485150 | -603
2026-02-22 13:42:51.500370 | -600
2026-02-22 13:42:51.500642 | -583
2026-02-22 13:42:51.500809 | -592
2026-02-22 13:42:51.500973 | -595
2026-02-22 13:42:51.501128 | -596
2026-02-22 13:42:51.516382 | -605
2026-02-22 13:42:51.516770 | -618
2026-02-22 13:42:51.516937 | -601
2026-02-22 13:42:51.517085 | -602
2026-02-22 13:42:51.517227 | -599
2026-02-22 13:42:51.532240 | -594
2026-02-22 13:42:51.532540 | -597
2026-02-22 13:42:51.532701 | -602
2026-02-22 13:42:51.532864 | -599
2026-02-22 13:42:51.533027 | -612
2026-02-22 13:42:51.548164 | -603
2026-02-22 13:42:51.548487 | -596
2026-02-22 13:42:51.548754 | -599
2026-02-22 13:42:51.548998 | -594
2026-02-22 13:42:51.549218 | -601
2026-02-22 13:42:51.564038 | -592
2026-02-22 13:42:51.564323 | -593
2026-02-22 13:42:51.564580 | -600
2026-02-22 13:42:51.564846 | -595
2026-02-22 13:42:51.565096 | -592
2026-02-22 13:42:51.579979 | -589
2026-02-22 13:42:51.580235 | -596
2026-02-22 13:42:51.580387 | -595
2026-02-22 13:42:51.580531 | -596
2026-02-22 13:42:51.580695 | -595
2026-02-22 13:42:51.595906 | -596
2026-02-22 13:42:51.596200 | -599
2026-02-22 13:42:51.596414 | -596
2026-02-22 13:42:51.596651 | -595
2026-02-22 13:42:51.596909 | -594
2026-02-22 13:42:51.612076 | -601
2026-02-22 13:42:51.612476 | -614
2026-02-22 13:42:51.612719 | -607
2026-02-22 13:42:51.612937 | -594
2026-02-22 13:42:51.613156 | -589
2026-02-22 13:42:51.613366 | -594
2026-02-22 13:42:51.627773 | -599
2026-02-22 13:42:51.628045 | -594
2026-02-22 13:42:51.628245 | -593
2026-02-22 13:42:51.628448 | -600
2026-02-22 13:42:51.628698 | -599
2026-02-22 13:42:51.644011 | -596
2026-02-22 13:42:51.644263 | -593
2026-02-22 13:42:51.644440 | -602
2026-02-22 13:42:51.644604 | -599
2026-02-22 13:42:51.644801 | -592
2026-02-22 13:42:51.659677 | -591
2026-02-22 13:42:51.659923 | -594
2026-02-22 13:42:51.660075 | -607
2026-02-22 13:42:51.660242 | -588
2026-02-22 13:42:51.660401 | -585
2026-02-22 13:42:51.675493 | -598
2026-02-22 13:42:51.675762 | -589
2026-02-22 13:42:51.675950 | -584
2026-02-22 13:42:51.676114 | -579
2026-02-22 13:42:51.676278 | -590
2026-02-22 13:42:51.691419 | -593
2026-02-22 13:42:51.691680 | -602
2026-02-22 13:42:51.691861 | -595
2026-02-22 13:42:51.692026 | -582
2026-02-22 13:42:51.692187 | -581
2026-02-22 13:42:51.707377 | -590
2026-02-22 13:42:51.707629 | -593
2026-02-22 13:42:51.707814 | -600
2026-02-22 13:42:51.707980 | -617
2026-02-22 13:42:51.708140 | -612
2026-02-22 13:42:51.723317 | -595
2026-02-22 13:42:51.723568 | -594
2026-02-22 13:42:51.723774 | -599
2026-02-22 13:42:51.723953 | -604
2026-02-22 13:42:51.724115 | -601
2026-02-22 13:42:51.739233 | -600
2026-02-22 13:42:51.739477 | -593
2026-02-22 13:42:51.739688 | -590
2026-02-22 13:42:51.739867 | -593
2026-02-22 13:42:51.740029 | -582
2026-02-22 13:42:51.755096 | -585
2026-02-22 13:42:51.755340 | -582
2026-02-22 13:42:51.755494 | -577
2026-02-22 13:42:51.755699 | -590
2026-02-22 13:42:51.755879 | -589
2026-02-22 13:42:51.771167 | -588
2026-02-22 13:42:51.771525 | -581
2026-02-22 13:42:51.771686 | -584
2026-02-22 13:42:51.771850 | -595
2026-02-22 13:42:51.772009 | -588
2026-02-22 13:42:51.787122 | -589
2026-02-22 13:42:51.787451 | -590
2026-02-22 13:42:51.787659 | -585
2026-02-22 13:42:51.787843 | -600
2026-02-22 13:42:51.788017 | -603
2026-02-22 13:42:51.803052 | -590
2026-02-22 13:42:51.803417 | -589
2026-02-22 13:42:51.803573 | -584
2026-02-22 13:42:51.803743 | -595
2026-02-22 13:42:51.803903 | -598
2026-02-22 13:42:51.818905 | -585
2026-02-22 13:42:51.819362 | -590
2026-02-22 13:42:51.819579 | -581
2026-02-22 13:42:51.819819 | -574
2026-02-22 13:42:51.819995 | -593
2026-02-22 13:42:51.834813 | -594
2026-02-22 13:42:51.835290 | -579
2026-02-22 13:42:51.835484 | -588
2026-02-22 13:42:51.835671 | -599
2026-02-22 13:42:51.835850 | -596
2026-02-22 13:42:51.836017 | -597
2026-02-22 13:42:51.850759 | -596
2026-02-22 13:42:51.851044 | -603
2026-02-22 13:42:51.851256 | -602
2026-02-22 13:42:51.851474 | -603
2026-02-22 13:42:51.851711 | -610
2026-02-22 13:42:51.866664 | -595
2026-02-22 13:42:51.866987 | -600
2026-02-22 13:42:51.867165 | -597
2026-02-22 13:42:51.867335 | -596
2026-02-22 13:42:51.867514 | -581
2026-02-22 13:42:51.882567 | -574
2026-02-22 13:42:51.882876 | -575
2026-02-22 13:42:51.883093 | -574
2026-02-22 13:42:51.883313 | -589
2026-02-22 13:42:51.883496 | -596
2026-02-22 13:42:51.898497 | -589
2026-02-22 13:42:51.898835 | -592
2026-02-22 13:42:51.899095 | -595
2026-02-22 13:42:51.899334 | -590
2026-02-22 13:42:51.899524 | -591
2026-02-22 13:42:51.914445 | -588
2026-02-22 13:42:51.914768 | -577
2026-02-22 13:42:51.914977 | -582
2026-02-22 13:42:51.915195 | -597
2026-02-22 13:42:51.915417 | -592
2026-02-22 13:42:51.930304 | -587
2026-02-22 13:42:51.930581 | -592
2026-02-22 13:42:51.930781 | -583
2026-02-22 13:42:51.930951 | -590
2026-02-22 13:42:51.931137 | -581
2026-02-22 13:42:51.946194 | -586
2026-02-22 13:42:51.946479 | -593
2026-02-22 13:42:51.946698 | -586
2026-02-22 13:42:51.946864 | -571
2026-02-22 13:42:51.947007 | -582
2026-02-22 13:42:51.962225 | -597
2026-02-22 13:42:51.962473 | -604
2026-02-22 13:42:51.962636 | -603
2026-02-22 13:42:51.962795 | -602
2026-02-22 13:42:51.962991 | -595
2026-02-22 13:42:51.978201 | -610
2026-02-22 13:42:51.978446 | -601
2026-02-22 13:42:51.978643 | -594
2026-02-22 13:42:51.978809 | -579
2026-02-22 13:42:51.978951 | -590
