TIMESTAMP;TEMP1;TEMP2;TEMP3;BOARD_TEMP1;BOARD_TEMP2;BOARD_TEMP3;OXIDIZER_PRESS;PRESSURE_FEED_PRESS;CHAMBER_PRESS1;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;PRIMER_STATUS;OXIDIZER_MAIN_VALVE;OXIDIZER_VENT_VALVE;OXIDIZER_DUMP_VALVE;PRESSURE_FEED_MAIN_VALVE;PRESSURE_FEED_VENT_VALVE;ENGINE_MODE;ETHANOL_PRESS;CHAMBER_PRESS2;CHAMBER_PRESS3;SEC_BOARD_TEMP1;SEC_BOARD_TEMP2;SEC_BOARD_TEMP3;ETHANOL_MAIN_VALVE;ETHANOL_VENT_VALVE;GPIO_STATE
96138;192;0;0;267;282;295;2916.0000;6228.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3898.0000;-2391.0000;82.0000;305;305;367;0;0;249854
96148;192;0;0;267;282;295;2916.0000;6228.0000;69.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3898.0000;-2391.0000;82.0000;305;305;367;0;0;249854
96159;192;0;0;267;282;295;2916.0000;6430.0000;69.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3898.0000;-2391.0000;82.0000;305;305;367;0;0;249854
96172;192;0;0;267;282;295;2916.0000;6430.0000;69.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3959.0000;-2391.0000;72.0000;305;305;367;0;0;249854
96182;192;0;0;267;282;295;2896.0000;6430.0000;69.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3959.0000;-2391.0000;72.0000;305;305;367;0;0;249854
96194;192;0;0;267;282;295;2896.0000;6430.0000;69.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3959.0000;-2391.0000;72.0000;305;305;367;0;0;249854
96205;192;0;0;267;282;295;2896.0000;6430.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3959.0000;-2391.0000;72.0000;305;305;367;0;0;249854
96215;192;0;0;267;282;295;2896.0000;6430.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3945.0000;-2391.0000;72.0000;305;305;367;0;0;249854
96226;192;0;0;267;282;295;2911.0000;6430.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3945.0000;-2391.0000;78.0000;305;305;367;0;0;249854
96237;192;0;0;267;282;295;2911.0000;6430.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3945.0000;-2391.0000;78.0000;305;305;367;0;0;249854
96247;192;0;0;267;282;295;2911.0000;6430.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3945.0000;-2391.0000;78.0000;305;305;367;0;0;249854
96257;192;0;0;267;282;295;2911.0000;6336.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3945.0000;-2391.0000;78.0000;305;305;367;0;0;249854
96268;192;0;0;267;282;295;2911.0000;6336.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3918.0000;-2391.0000;78.0000;305;305;367;0;0;249854
96279;192;0;0;267;282;295;2904.0000;6336.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3918.0000;-2391.0000;129.0000;305;305;367;0;0;249854
96290;192;0;0;267;282;295;2904.0000;6336.0000;59.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3918.0000;-2391.0000;129.0000;305;305;367;0;0;249854
96300;192;0;0;267;282;295;2904.0000;6336.0000;42.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3918.0000;-2391.0000;129.0000;305;305;367;0;0;249854
96311;192;0;0;267;282;295;2904.0000;6430.0000;42.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3918.0000;-2391.0000;129.0000;305;305;367;0;0;249854
96321;192;0;0;267;282;295;2904.0000;6430.0000;42.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3905.0000;-2391.0000;129.0000;305;305;367;0;0;249854
96332;192;0;0;267;282;295;2901.0000;6430.0000;42.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3905.0000;-2391.0000;88.0000;305;305;367;0;0;249854
96342;192;0;0;267;282;295;2901.0000;6430.0000;42.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3905.0000;-2391.0000;88.0000;305;305;367;0;0;249854
96353;192;0;0;267;282;295;2901.0000;6430.0000;76.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3905.0000;-2391.0000;88.0000;305;305;367;0;0;249854
96364;192;0;0;267;282;295;2901.0000;6349.0000;76.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3952.0000;-2391.0000;88.0000;305;305;367;0;0;249854
96375;192;0;0;267;282;295;2901.0000;6349.0000;76.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3952.0000;-2391.0000;88.0000;305;305;367;0;0;249854
96387;192;0;0;267;282;295;2904.0000;6349.0000;76.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3952.0000;-2391.0000;125.0000;305;305;367;0;0;249840
96398;192;0;0;267;282;295;2904.0000;6349.0000;76.0000;88.0000;7.0000;61.0000;2;0;0;0;1;0;2;3952.0000;-2391.0000;125.0000;305;305;367;0;0;249824
