TIMESTAMP;TEMP1;TEMP2;TEMP3;BOARD_TEMP1;BOARD_TEMP2;BOARD_TEMP3;OXIDIZER_PRESS;PRESSURE_FEED_PRESS;CHAMBER_PRESS1;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;PRIMER_STATUS;OXIDIZER_MAIN_VALVE;OXIDIZER_VENT_VALVE;OXIDIZER_DUMP_VALVE;PRESSURE_FEED_MAIN_VALVE;PRESSURE_FEED_VENT_VALVE;ENGINE_MODE;ETHANOL_PRESS;CHAMBER_PRESS2;CHAMBER_PRESS3;SEC_BOARD_TEMP1;SEC_BOARD_TEMP2;SEC_BOARD_TEMP3;ETHANOL_MAIN_VALVE;ETHANOL_VENT_VALVE;GPIO_STATE
201004;162;0;0;230;247;255;5147.0000;10107.0000;112.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3975.0000;-2391.0000;78.0000;225;230;222;0;0;249836
201015;162;0;0;230;247;255;5147.0000;10107.0000;112.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3975.0000;-2391.0000;78.0000;225;230;222;0;0;249836
201035;162;0;0;230;247;255;5147.0000;10161.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3975.0000;-2391.0000;78.0000;225;230;222;0;0;249828
201046;162;0;0;230;247;255;5147.0000;10161.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3965.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201056;162;0;0;230;247;255;5120.0000;10161.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3965.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201067;162;0;0;230;247;255;5120.0000;10161.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3965.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201077;162;0;0;230;247;255;5120.0000;10161.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3965.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201088;162;0;0;230;247;255;5120.0000;10161.0000;115.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3965.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201098;162;0;0;230;247;255;5120.0000;10295.0000;115.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3996.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201109;162;0;0;230;247;255;5137.0000;10295.0000;115.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3996.0000;-2391.0000;92.0000;225;230;222;0;0;249828
201119;162;0;0;230;247;255;5137.0000;10295.0000;115.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3996.0000;-2391.0000;92.0000;225;230;222;0;0;249828
201130;162;0;0;230;247;255;5137.0000;10295.0000;115.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3996.0000;-2391.0000;92.0000;225;230;222;0;0;249828
201144;162;0;0;230;247;255;5137.0000;10349.0000;92.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3962.0000;-2391.0000;92.0000;225;230;222;0;0;249828
201156;162;0;0;230;247;255;5147.0000;10349.0000;92.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3962.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201167;162;0;0;230;247;255;5147.0000;10349.0000;92.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3962.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201178;162;0;0;230;247;255;5147.0000;10349.0000;92.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3962.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201188;162;0;0;230;247;255;5147.0000;10349.0000;139.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3955.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201199;162;0;0;230;247;255;5147.0000;10255.0000;139.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3955.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201209;162;0;0;230;247;255;5120.0000;10255.0000;139.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3955.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201220;162;0;0;230;247;255;5120.0000;10255.0000;139.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3955.0000;-2391.0000;82.0000;225;230;222;0;0;249828
201235;162;0;0;230;247;255;5120.0000;10255.0000;139.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3955.0000;-2391.0000;82.0000;225;230;222;0;0;249844
201247;162;0;0;230;247;255;5120.0000;10255.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3969.0000;-2391.0000;82.0000;225;230;222;0;0;249844
201258;162;0;0;230;247;255;5164.0000;10255.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3969.0000;-2391.0000;78.0000;225;230;222;0;0;249844
201269;162;0;0;230;247;255;5164.0000;10255.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3969.0000;-2391.0000;78.0000;225;230;222;0;0;249844
201279;162;0;0;230;247;255;5164.0000;10255.0000;145.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3969.0000;-2391.0000;78.0000;225;230;222;0;0;249844
201291;162;0;0;230;247;255;5164.0000;10161.0000;125.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3999.0000;-2391.0000;78.0000;225;230;222;0;0;249844
201302;162;0;0;230;247;255;5164.0000;10161.0000;125.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3999.0000;-2391.0000;125.0000;225;230;222;0;0;249844
201313;162;0;0;230;247;255;5204.0000;10161.0000;125.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3999.0000;-2391.0000;125.0000;225;230;222;0;0;249844
201324;162;0;0;230;247;255;5204.0000;10161.0000;125.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3999.0000;-2391.0000;125.0000;225;230;222;0;0;249844
201338;162;0;0;230;247;255;5204.0000;10161.0000;125.0000;72.0000;7.0000;59.0000;2;0;0;0;1;0;2;3996.0000;-2391.0000;125.0000;225;230;222;0;0;249842
