timestamp,fcfileloggerapp_loggingstate,engineservice_currentmode,envapp_newboardtempevent1,envapp_newboardtempevent2,envapp_newboardtempevent3,envapp_newchamberpressevent1,envapp_newoxidizerpressevent,envapp_newpressurefeedpressevent,envapp_newtempevent_1,envapp_newtempevent_2,envapp_newtempevent_3,secenvapp_newboardtempevent1,secenvapp_newboardtempevent2,secenvapp_newboardtempevent3,secenvapp_newchamberpressevent2,secenvapp_newchamberpressevent3,secenvapp_newethanolpressevent,servoservice_newoxidizerdumpvalveevent,servoservice_newoxidizermainvalveevent,servoservice_newoxidizerventvalveevent,servoservice_newpressurefeedmainevent,servoservice_newpressurefeedventevent,secservoservice_newethanolmainvalveevent,secservoservice_newethanolventvalveevent,sysstatservice_newsystemusage,envappfc_newbme280event,envappfc_newboardtempevent_1,envappfc_newboardtempevent_2,envappfc_newboardtempevent_3,envappfc_newimuevent,recoveryservice_newparachutestatusevent,gpsservice_gpsrmcstatusevent,gpsservice_gpsstatusevent,gpsservice_gpsvtgstatusevent,primerservice_primestatusevent,fcsysstatservice_newsystemusage,mainservice_currentmodestatusevent
2026-07-13 02:17:31.370855,,2,27.7,28.7,27.7,0.47,0.77,85.51,23.2,,,30.7,29.7,35.5,-23.91,1.35,0.75,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:31.474067,,2,27.7,28.7,27.7,0.52,0.57,86.12,23.2,,,30.7,29.7,35.5,-23.91,0.95,1.18,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:31.577946,,2,27.7,28.7,27.7,0.64,0.76,85.58,23.2,,,30.7,29.7,35.5,-23.91,0.92,1.28,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:31.681212,,2,27.7,28.7,27.7,0.44,0.62,86.05,23.2,,,30.7,29.7,35.5,-23.91,1.35,1.02,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:31.784488,,2,27.7,28.7,27.7,0.56,0.81,86.32,23.2,,,30.7,29.7,35.5,-23.91,0.92,1.05,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:31.887765,,2,27.7,28.7,27.7,0.64,0.56,85.85,23.2,,,30.7,29.7,35.5,-23.91,0.72,1.28,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:31.991808,,2,27.7,28.7,27.7,0.71,0.67,86.18,23.2,,,30.7,29.7,35.5,-23.91,1.19,1.28,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.095058,,2,27.7,28.7,27.7,0.46,0.61,86.32,23.2,,,30.7,29.7,35.5,-23.91,1.05,1.02,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.198541,,2,27.7,28.7,27.7,0.54,0.77,85.58,23.2,,,30.7,30.0,35.5,-23.91,1.19,0.98,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.302745,,2,27.7,28.7,27.7,0.66,0.71,85.78,23.2,,,30.7,30.0,35.5,-23.91,1.12,1.15,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.407765,,2,27.7,28.7,27.7,0.49,0.81,86.25,23.2,,,30.7,30.0,35.5,-23.91,1.08,1.22,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.511039,,2,27.7,28.7,27.7,0.64,0.86,85.58,23.2,,,30.7,30.0,35.5,-23.91,1.12,1.32,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.615083,,2,27.7,28.7,27.7,0.66,0.83,85.71,23.2,,,30.7,30.0,35.5,-23.91,1.25,1.32,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.718774,,2,27.7,28.7,27.7,0.62,0.57,86.25,23.2,,,30.7,30.0,35.5,-23.91,0.82,0.98,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.834019,,2,27.7,28.7,27.7,0.54,0.59,86.25,23.2,,,30.7,30.0,35.5,-23.91,1.22,0.92,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
2026-07-13 02:17:32.939399,,2,27.7,28.7,27.7,0.67,0.64,86.25,23.2,,,30.7,30.0,35.5,-23.91,0.88,0.71,0,0,0,0,0,0,0,"[0, 0, 224]",,,,,,,,,,2,,
