TIMESTAMP;TEMP1;TEMP2;TEMP3;TANK_PRESS;TANK_D_PRESS;CPU_USAGE;MEM_USAGE;DISK_UTILIZATION;TENSO
707777;0;0;0;5644.00;108.00;100.00;8.44;65.94;1.44
707783;0;0;0;5580.00;122.00;100.00;8.44;65.94;1.47
707788;0;0;0;5580.00;122.00;100.00;8.44;65.94;1.47
707794;0;0;0;5580.00;119.00;100.00;8.44;65.94;2.09
707800;0;0;0;5580.00;119.00;100.00;8.44;65.94;1.59
707805;0;0;0;5580.00;98.00;100.00;8.44;65.94;1.59
707812;0;0;0;5580.00;112.00;100.00;8.44;65.94;1.48
707817;0;0;0;5580.00;112.00;100.00;8.44;65.94;1.48
707822;0;0;0;5580.00;112.00;100.00;8.44;65.94;1.48
707828;0;0;0;5580.00;58.00;100.00;8.44;65.94;1.48
707834;0;0;0;5580.00;58.00;100.00;8.44;65.94;1.48
707839;0;0;0;5580.00;75.00;100.00;8.44;65.94;1.45
707845;0;0;0;5580.00;75.00;100.00;8.44;65.94;1.44
707850;0;0;0;5580.00;92.00;100.00;8.44;65.94;1.44
707861;0;0;0;5580.00;92.00;100.00;8.44;65.94;1.46
707867;0;0;0;5580.00;102.00;100.00;8.44;65.94;1.48
707873;0;0;0;5580.00;102.00;100.00;8.44;65.94;1.48
707878;0;0;0;5580.00;98.00;100.00;8.44;65.94;1.47
707883;0;0;0;5584.00;98.00;100.00;8.44;65.94;1.47
707889;0;0;0;5584.00;98.00;100.00;8.44;65.94;2.00
707894;0;0;0;5584.00;98.00;100.00;8.44;65.94;2.00
707900;0;0;0;5584.00;98.00;100.00;8.44;65.94;1.56
707907;0;0;0;5584.00;68.00;100.00;8.44;65.94;1.56
707913;0;0;0;5584.00;41.00;100.00;8.44;65.94;1.48
707918;0;0;0;5584.00;41.00;100.00;8.44;65.94;1.48
707924;0;0;0;5584.00;115.00;100.00;8.44;65.94;1.48
707930;0;0;0;5584.00;115.00;100.00;8.44;65.94;1.48
707935;0;0;0;5584.00;58.00;100.00;8.44;65.94;1.72
707940;0;0;0;5584.00;58.00;100.00;8.44;65.94;1.72
707946;0;0;0;5584.00;68.00;100.00;8.44;65.94;1.49
707952;0;0;0;5584.00;68.00;100.00;8.44;65.94;1.49
707957;0;0;0;5584.00;58.00;100.00;8.44;65.94;1.46
707964;0;0;0;5584.00;58.00;100.00;8.44;65.94;1.46
